Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Rat,Team_Total_Targets,Target_Share
20,Terry McLaurin,29,WAS,WR,17,17,117,82,1096,56,804,9.8,292,3.6,13.4,2.0,41.0,4,3.4,133.0,504,23.21
21,Tyreek Hill,30,MIA,WR,17,17,123,81,959,54,667,8.2,292,3.6,11.4,1.0,81.0,2,1.6,95.5,568,21.65
22,Courtland Sutton,29,DEN,WR,17,13,135,81,1081,57,902,11.1,179,2.2,13.2,1.0,81.0,9,6.7,86.7,549,24.59
23,Puka Nacua,23,LAR,WR,11,11,106,79,990,47,472,6.0,518,6.6,7.9,10.0,7.9,1,0.9,108.6,541,19.59
24,DeVon Achane,23,MIA,RB,17,16,87,78,592,30,-73,-0.9,665,8.5,-0.4,5.0,15.6,2,2.3,118.0,568,15.32
25,George Kittle,31,SFO,TE,15,15,94,78,1106,50,584,7.5,522,6.7,8.1,4.0,19.5,2,2.1,135.2,513,18.32
26,Jauan Jennings,27,SFO,WR,15,10,113,77,975,47,737,9.6,238,3.1,9.9,5.0,15.4,5,4.4,101.5,513,22.03
27,Khalil Shakir,24,BUF,WR,15,9,100,76,821,35,224,2.9,597,7.9,5.5,6.0,12.7,1,1.0,108.8,495,20.2
28,Mike Evans,31,TAM,WR,14,14,110,74,1004,53,778,10.5,226,3.1,11.6,2.0,37.0,4,3.6,110.6,563,19.54
29,Zay Flowers,24,BAL,WR,17,15,116,74,1059,48,596,8.1,463,6.3,10.0,7.0,10.6,6,5.2,104.8,457,25.38
30,Tee Higgins,25,CIN,WR,12,9,109,73,911,48,683,9.4,228,3.1,9.8,7.0,10.4,3,2.8,119.5,628,17.36
31,Josh Downs,23,IND,WR,14,8,107,72,803,40,407,5.7,396,5.5,6.9,3.0,24.0,5,4.7,93.3,492,21.75
32,Keenan Allen,32,CHI,WR,15,15,121,70,744,43,504,7.2,240,3.4,9.0,1.0,70.0,6,5.0,95.2,527,22.96
33,Michael Pittman Jr.,27,IND,WR,16,14,111,69,808,35,549,8.0,259,3.8,11.0,3.0,23.0,1,0.9,78.2,492,22.56
34,Nico Collins,25,HOU,WR,12,12,99,68,1006,48,641,9.4,365,5.4,10.7,2.0,34.0,3,3.0,104.2,547,18.1
35,Alvin Kamara,29,NOR,RB,14,14,89,68,543,18,1,0.0,542,8.0,0.9,2.0,34.0,8,9.0,94.0,517,17.21
36,DeVonta Smith,26,PHI,WR,13,13,89,68,833,42,534,7.9,299,4.4,9.1,0.0,,2,2.2,120.7,418,21.29
37,A.J. Brown,27,PHI,WR,13,13,97,67,1079,51,726,10.8,353,5.3,12.1,9.0,7.4,0,0.0,121.5,418,23.21
38,Cooper Kupp,31,LAR,WR,12,11,100,67,710,28,441,6.6,269,4.0,7.5,2.0,33.5,2,2.0,107.5,541,18.48
