"Rank","Player","RZ_REC","RZ_TGT","RZ_REC_PCT","RZ_YDS","Y/R","RZ_P_TD","RZ_TGT_PCT","ATT","YDS","RTD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"53","Allen Lazard (NYJ)","5","11","45.5%","38","7.6","3","18.0%","0","0","0","0.0%","0","12","26.8","2.2","6.5%"
"54","Khalil Shakir (BUF)","9","10","90.0%","53","5.9","2","26.3%","0","0","0","0.0%","0","15","26.3","1.8","85.1%"
"55","Malik Nabers (NYG)","5","13","38.5%","30","6.0","3","37.1%","1","-2","0","33.3%","0","15","25.8","1.7","98.8%"
"56","Zay Flowers (BAL)","3","7","42.9%","31","10.3","3","38.9%","2","-1","0","100.0%","0","17","24.0","1.4","93.9%"
"57","Gabe Davis (FA)","5","11","45.5%","66","13.2","2","27.5%","0","0","0","0.0%","0","10","23.6","2.4","12.6%"
"58","Josh Downs (IND)","7","13","53.8%","44","6.3","2","33.3%","0","0","0","0.0%","0","14","23.4","1.7","62.9%"
"59","Olamide Zaccheaus (CHI)","7","8","87.5%","43","6.1","2","22.2%","0","0","0","0%","0","17","23.3","1.4","2.4%"
"60","Jameson Williams (DET)","6","11","54.5%","39","6.5","1","21.2%","1","3","1","50.0%","0","15","22.2","1.5","91.5%"
"61","Tank Dell (HOU)","5","9","55.6%","45","9.0","2","24.3%","1","4","0","50.0%","0","14","21.9","1.6","18.4%"
"62","David Moore (CAR)","5","10","50.0%","47","9.4","2","22.2%","1","0","0","50.0%","0","17","21.7","1.3","0.8%"
"63","Devaughn Vele (DEN)","5","6","83.3%","42","8.4","2","13.6%","0","0","0","0%","0","13","21.2","1.6","7.9%"
"64","Calvin Ridley (TEN)","4","8","50.0%","23","5.8","1","30.8%","2","20","1","100.0%","0","17","20.3","1.2","88.0%"
"65","Adam Thielen (CAR)","4","6","66.7%","40","10.0","2","13.3%","0","0","0","0.0%","0","10","20.0","2.0","48.3%"
"66","Van Jefferson (TEN)","5","8","62.5%","27","5.4","2","25.0%","0","0","0","0%","0","15","19.7","1.3","1.8%"
"67","JuJu Smith-Schuster (KC)","4","6","66.7%","34","8.5","2","12.2%","0","0","0","0.0%","0","14","19.4","1.4","1.8%"
"68","Justin Watson (HOU)","4","4","100.0%","29","7.3","2","8.2%","0","0","0","0.0%","0","16","18.9","1.2","1.0%"
"69","Keon Coleman (BUF)","4","11","36.4%","29","7.3","2","28.9%","0","0","0","0.0%","0","13","18.9","1.5","71.4%"
"70","Amari Cooper (FA)","4","5","80.0%","28","7.0","2","13.2%","0","0","0","0.0%","0","13","18.8","1.4","21.1%"
"71","Troy Franklin (DEN)","4","7","57.1%","23","5.8","2","15.9%","0","0","0","0%","0","16","18.3","1.1","12.2%"
"72","Jamison Crowder (FA)","3","3","100.0%","22","7.3","2","8.3%","0","0","0","0%","0","5","17.2","3.4","1.0%"
"73","Jaylen Waddle (MIA)","6","9","66.7%","50","8.3","1","25.0%","2","2","0","66.7%","0","16","17.2","1.1","89.7%"
