RANK,NAME,TEAM,POS,GP,FPTS,XFP,DIFF,TD/G,XTD,TD_DIFF,OPP,5OPP,10OPP,20OPP,RUSH,AIRYDS,TGTEZ,TGT,DEEPTGT
1,Malik Nabers,NYG,WR,15,18.1,20.3,-2.2,0.5,0.54,-0.1,0.5,0.7,1.1,0.3,116.7,11.9,0.7,2.1
2,Ja'Marr Chase,CIN,WR,17,23.7,19.3,4.4,1.0,0.76,0.2,0.8,1.0,2.2,0.2,97.8,10.6,1.1,1.2
3,Justin Jefferson,MIN,WR,17,18.6,18.5,0.1,0.6,0.69,-0.1,0.4,0.9,1.8,0.1,120.1,9.9,1.2,1.6
4,Davante Adams,NYJ,WR,14,17.1,18.1,-1.0,0.6,0.68,-0.1,0.7,1.1,1.8,0.0,96.1,10.1,1.1,1.6
5,Tee Higgins,CIN,WR,12,18.6,17.7,0.9,0.8,0.87,0.0,1.0,1.3,2.2,0.0,111.3,9.5,1.7,1.3
6,Puka Nacua,LAR,WR,11,18.8,17.7,1.1,0.4,0.47,-0.1,0.2,0.4,1.7,1.0,84.4,10.0,0.7,1.2
7,Garrett Wilson,NYJ,WR,17,14.8,17.1,-2.3,0.4,0.57,-0.2,0.3,0.8,1.6,0.1,94.2,9.5,0.7,1.4
8,CeeDee Lamb,DAL,WR,16,16.4,16.9,-0.5,0.4,0.43,-0.1,0.1,0.2,1.2,0.9,89.5,9.9,0.9,1.3
9,Drake London,ATL,WR,17,16.5,16.5,0.0,0.5,0.55,0.0,0.2,0.5,1.5,0.1,107.2,9.4,0.9,1.2
10,Nico Collins,HOU,WR,12,17.6,16.2,1.3,0.6,0.57,0.0,0.6,0.8,1.2,0.0,101.4,8.8,1.0,1.5
11,Courtland Sutton,DEN,WR,17,13.9,15.6,-1.7,0.5,0.57,-0.1,0.1,0.5,1.4,0.0,114.8,8.4,1.1,1.7
12,Chris Godwin,TB,WR,7,19.7,15.6,4.1,0.7,0.43,0.3,0.6,1.0,1.3,0.1,57.6,9.4,0.6,0.3
13,DJ Moore,CHI,WR,17,13.9,15.4,-1.5,0.4,0.36,0.0,0.1,0.4,1.2,0.8,71.2,9.1,0.5,1.5
14,Cooper Kupp,LAR,WR,12,14.6,15.0,-0.4,0.5,0.46,0.0,0.2,0.7,1.2,0.2,74.0,8.5,0.8,1.3
15,Mike Evans,TB,WR,14,17.2,14.9,2.3,0.8,0.65,0.1,0.6,0.8,1.1,0.0,100.9,8.1,1.4,1.1
16,Jerry Jeudy,CLE,WR,17,13.9,14.9,-1.0,0.2,0.33,-0.1,0.1,0.3,0.9,0.1,97.8,8.8,0.6,1.2
17,Jakobi Meyers,LV,WR,15,14.4,14.9,-0.5,0.3,0.38,-0.1,0.2,0.4,1.0,0.1,92.7,8.9,0.7,1.5
18,Jaxon Smith-Njigba,SEA,WR,17,14.8,14.6,0.2,0.4,0.40,-0.1,0.3,0.4,0.9,0.3,78.5,8.4,0.6,1.2
19,Amon-Ra St. Brown,DET,WR,17,18.4,14.5,3.9,0.7,0.47,0.2,0.5,0.9,1.9,0.1,67.9,8.3,0.6,0.4
20,DK Metcalf,SEA,WR,15,12.9,14.4,-1.5,0.3,0.45,-0.1,0.3,0.4,0.7,0.0,113.3,8.0,0.8,2.4
21,Brian Thomas,JAX,WR,17,16.5,14.3,2.2,0.6,0.42,0.2,0.3,0.5,0.9,0.4,98.0,8.0,0.8,1.9
22,George Pickens,PIT,WR,14,11.8,14.2,-2.4,0.2,0.55,-0.3,0.4,0.6,1.3,0.1,113.6,7.8,1.0,2.4
23,A.J. Brown,PHI,WR,13,16.7,13.9,2.8,0.5,0.49,0.0,0.2,0.5,1.0,0.0,101.2,7.8,1.0,1.3
24,Stefon Diggs,HOU,WR,8,15.2,13.8,1.4,0.5,0.30,0.2,0.1,0.6,0.8,0.4,69.1,8.0,0.4,0.8
25,Marvin Harrison,ARI,WR,17,11.6,13.6,-2.0,0.5,0.50,0.0,0.1,0.4,0.9,0.0,102.8,7.3,1.0,1.5
26,Terry McLaurin,WAS,WR,17,15.8,13.6,2.2,0.8,0.52,0.2,0.3,0.5,0.9,0.1,94.1,7.0,0.8,1.6
27,Keenan Allen,CHI,WR,15,12.4,13.6,-1.2,0.5,0.42,0.0,0.2,0.5,1.1,0.0,79.0,8.0,0.9,1.3
28,Tyreek Hill,MIA,WR,17,12.8,13.6,-0.7,0.4,0.42,-0.1,0.3,0.6,1.1,0.5,85.0,7.3,0.8,1.1
29,Calvin Ridley,TEN,WR,17,11.8,13.4,-1.6,0.3,0.30,0.0,0.2,0.2,0.6,0.5,118.6,7.3,0.3,2.0
30,Zay Flowers,BAL,WR,17,12.3,13.4,-1.1,0.2,0.37,-0.1,0.0,0.4,0.6,0.6,77.4,7.2,0.5,1.3
31,Wan'Dale Robinson,NYG,WR,17,10.7,13.2,-2.5,0.2,0.30,-0.1,0.2,0.6,1.1,0.2,42.8,8.2,0.3,0.4
32,Rashid Shaheed,NO,WR,6,12.5,13.2,-0.7,0.5,0.43,0.1,0.2,0.3,1.2,1.2,125.2,6.8,0.3,2.5
33,Josh Downs,IND,WR,14,13.1,13.0,0.1,0.4,0.31,0.0,0.1,0.4,1.0,0.1,54.7,7.7,0.4,0.6
34,Jordan Addison,MIN,WR,15,14.2,12.6,1.6,0.7,0.53,0.1,0.3,0.7,1.4,0.2,101.9,6.9,0.9,2.1
35,Jauan Jennings,SF,WR,15,14.0,12.6,1.5,0.4,0.34,0.1,0.2,0.5,0.9,0.0,81.4,7.5,0.5,0.9
36,Darnell Mooney,ATL,WR,16,12.1,12.4,-0.4,0.3,0.28,0.0,0.1,0.1,0.4,0.0,92.5,7.0,0.2,1.4
37,Ladd McConkey,LAC,WR,16,15.0,12.2,2.8,0.4,0.29,0.1,0.1,0.6,0.6,0.0,73.3,7.3,0.4,0.6
38,Brandon Aiyuk,SF,WR,7,8.9,12.1,-3.2,0.0,0.29,-0.3,0.1,0.3,0.7,0.0,88.7,6.9,0.6,0.9
39,Christian Kirk,JAX,WR,8,8.9,11.8,-3.0,0.1,0.39,-0.3,0.4,0.5,0.8,0.0,83.1,6.1,0.5,1.6
40,Jameson Williams,DET,WR,15,14.1,11.7,2.4,0.5,0.35,0.2,0.3,0.3,0.9,0.7,75.2,6.3,0.5,1.0
41,Michael Pittman,IND,WR,16,10.4,11.7,-1.3,0.2,0.23,0.0,0.1,0.3,0.8,0.0,75.0,6.9,0.4,1.0
42,Rome Odunze,CHI,WR,17,8.6,11.7,-3.2,0.2,0.48,-0.3,0.2,0.3,1.1,0.2,86.2,6.1,0.9,1.5
43,Tank Dell,HOU,WR,14,10.0,11.6,-1.6,0.2,0.40,-0.2,0.1,0.4,0.9,0.6,81.6,6.2,0.6,1.0
44,DeVonta Smith,PHI,WR,13,15.3,11.5,3.9,0.6,0.38,0.2,0.2,0.4,0.9,0.1,67.7,6.5,0.7,1.1
45,Khalil Shakir,BUF,WR,15,12.2,11.4,0.8,0.3,0.25,0.0,0.1,0.2,0.8,0.1,41.7,6.9,0.3,0.8
46,Amari Cooper,BUF,WR,14,8.8,11.3,-2.6,0.3,0.28,0.0,0.0,0.2,0.4,0.0,91.6,6.6,0.4,1.7
47,Adam Thielen,CAR,WR,10,14.0,11.0,2.9,0.5,0.40,0.1,0.0,0.2,0.8,0.0,76.7,6.3,0.8,1.4
48,Diontae Johnson,HOU,WR,12,7.4,10.9,-3.5,0.3,0.51,-0.3,0.4,0.8,1.0,0.2,61.0,5.6,0.8,1.0
49,Xavier Worthy,KC,WR,17,11.0,10.8,0.2,0.5,0.34,0.2,0.1,0.5,1.4,1.2,57.2,5.8,0.4,1.1
50,Deebo Samuel,SF,WR,15,10.3,10.7,-0.4,0.3,0.25,0.0,0.3,0.6,1.6,3.0,38.6,5.5,0.1,0.7
51,Quentin Johnston,LAC,WR,15,11.6,10.7,1.0,0.5,0.33,0.2,0.1,0.1,0.7,0.3,71.8,6.0,0.5,1.4
52,Brandin Cooks,DAL,WR,10,7.0,10.4,-3.5,0.3,0.43,-0.1,0.5,0.6,0.8,0.3,70.4,5.6,0.7,1.1
53,DeAndre Hopkins,KC,WR,16,9.2,10.4,-1.2,0.3,0.41,-0.1,0.4,0.6,0.8,0.0,66.1,5.5,0.6,0.9
54,Chris Olave,NO,WR,8,9.7,10.3,-0.6,0.1,0.28,-0.2,0.1,0.1,0.8,0.1,67.8,5.9,0.5,1.0
55,Romeo Doubs,GB,WR,13,10.0,10.0,0.0,0.3,0.34,0.0,0.1,0.2,0.9,0.0,73.5,5.7,0.6,1.3
56,Rashee Rice,KC,WR,5,13.0,9.8,3.2,0.4,0.09,0.3,0.0,0.2,0.4,0.2,38.2,6.2,0.0,0.6
57,Elijah Moore,CLE,WR,17,7.1,9.7,-2.6,0.1,0.18,-0.1,0.1,0.1,0.4,0.1,56.4,5.9,0.3,0.8
58,Jaylen Waddle,MIA,WR,15,9.7,9.7,0.0,0.1,0.20,-0.1,0.1,0.3,0.8,0.3,56.7,5.7,0.1,0.5
59,Keon Coleman,BUF,WR,13,8.4,9.6,-1.2,0.3,0.46,-0.2,0.2,0.5,1.0,0.1,80.2,5.0,0.8,1.7
60,Xavier Legette,CAR,WR,16,7.8,9.6,-1.8,0.3,0.32,-0.1,0.1,0.4,0.8,0.4,72.1,5.4,0.7,1.5
61,Noah Brown,WAS,WR,11,7.8,9.3,-1.4,0.1,0.15,-0.1,0.0,0.2,0.4,0.0,76.2,5.5,0.1,1.2
