Player,Age,Team,G,Tgt,Rec,Yds,Target_Share,CATCHABLE,AIR,team_air,air_pct,RZ TGT,RZ_REC,RZ_REC_PCT,RZ_P_TD,RZ_TGT_PCT,Routes Run,FPTS,FPTS/G,XFP,fpts_diff,RTD,TD/G,XTD,td_diff,WOPR,VOR,YPRR
davante adams,32,LVR,3,27,18,209,4.56,91.0,1163.0,3751,31.01,24.0,11.0,47.8%,5.0,37.7%,496.0,241.3,17.2,18.1,-0.9,8.0,0.6,0.68,-0.08,0.29,4.2,0.42
davante adams,32,NYJ,11,114,67,854,19.35,91.0,1163.0,3922,29.65,24.0,11.0,47.8%,5.0,37.7%,496.0,241.3,17.2,18.1,-0.9,8.0,0.6,0.68,-0.08,0.5,4.2,1.72
ladd mcconkey,23,LAC,16,112,82,1149,22.81,87.0,1108.0,3626,30.56,9.0,7.0,87.5%,5.0,28.6%,424.0,240.9,15.1,12.2,2.9,7.0,0.4,0.29,0.11,0.56,2.1,2.71
terry mclaurin,29,WAS,17,117,82,1096,23.21,86.0,1565.0,3189,49.07,14.0,12.0,85.7%,9.0,38.9%,458.0,267.8,15.8,13.6,2.2,13.0,0.8,0.52,0.28,0.69,2.8,2.39
tyreek hill,30,MIA,17,123,81,959,21.65,83.0,1397.0,2790,50.07,18.0,9.0,50.0%,5.0,50.0%,484.0,218.2,12.8,13.6,-0.8,6.0,0.4,0.42,-0.02,0.68,-0.2,1.98
courtland sutton,29,DEN,17,135,81,1081,24.59,90.0,1803.0,3912,46.09,21.0,12.0,57.1%,6.0,47.7%,517.0,240.3,14.1,15.6,-1.5,8.0,0.5,0.57,-0.07,0.69,1.1,2.09
puka nacua,23,LAR,11,106,79,990,19.59,80.0,834.0,3552,23.48,12.0,10.0,76.9%,3.0,29.5%,274.0,206.6,18.8,17.7,1.1,3.0,0.4,0.47,-0.07,0.46,5.8,3.61
jauan jennings,27,SFO,15,113,77,975,22.03,82.0,1118.0,3098,36.09,15.0,8.0,53.3%,5.0,33.3%,372.0,210.5,14.0,12.6,1.4,6.0,0.4,0.34,0.06,0.58,1.0,2.62
khalil shakir,24,BUF,15,100,76,821,20.2,77.0,548.0,3994,13.72,8.0,9.0,90.0%,2.0,26.3%,334.0,182.5,12.2,11.4,0.8,4.0,0.3,0.25,0.05,0.4,-0.8,2.46
mike evans,31,TAM,14,110,74,1004,19.54,78.0,1274.0,3428,37.16,15.0,8.0,61.5%,7.0,31.0%,382.0,240.4,17.2,14.9,2.3,11.0,0.8,0.65,0.15,0.55,4.2,2.63
zay flowers,24,BAL,17,116,74,1059,25.38,80.0,1162.0,3332,34.87,7.0,3.0,42.9%,3.0,38.9%,417.0,209.5,12.3,13.4,-1.1,4.0,0.2,0.37,-0.17,0.62,-0.7,2.54
tee higgins,25,CIN,12,109,73,911,17.36,76.0,1067.0,3630,29.39,24.0,14.0,60.9%,7.0,30.7%,428.0,222.1,18.5,17.7,0.8,10.0,0.8,0.87,-0.07,0.47,5.5,2.13
josh downs,23,IND,14,107,72,803,21.75,77.0,763.0,4444,17.17,12.0,7.0,53.8%,2.0,33.3%,345.0,183.5,13.1,13.0,0.1,5.0,0.4,0.31,0.09,0.45,0.1,2.33
keenan allen,32,CHI,15,121,70,744,22.96,75.0,1104.0,3708,29.77,15.0,6.0,40.0%,5.0,27.3%,452.0,185.4,12.4,13.6,-1.2,7.0,0.5,0.42,0.08,0.55,-0.6,1.65
michael pittman,27,IND,16,111,69,808,22.56,70.0,1270.0,4444,28.58,10.0,7.0,58.3%,3.0,30.8%,453.0,165.8,10.4,11.7,-1.3,3.0,0.2,0.23,-0.03,0.54,-2.6,1.78
nico collins,25,HOU,12,99,68,1006,18.1,71.0,1062.0,4229,25.11,13.0,6.0,50.0%,4.0,32.4%,328.0,210.6,17.6,16.2,1.4,7.0,0.6,0.57,0.03,0.45,4.6,3.07
