Player,Age,Team,G,Tgt,Rec,Yds,Target_Share,CATCHABLE,AIR,team_air,air_pct,RZ TGT,RZ_REC,RZ_REC_PCT,RZ_P_TD,RZ_TGT_PCT,Routes Run,FPTS,FPTS/G,XFP,fpts_diff,RTD,TD/G,XTD,td_diff,WOPR,VOR,YPRR
mike williams,30,2TM,18,34,21,298,7.07,23.0,518.0,5041,10.28,2.0,0.0,0.0%,0.0,6.3%,322.0,56.8,4.1,4.2,-0.1,1.0,0.1,0.14,-0.04,0.18,-8.9,0.93
mike williams,30,NYJ,9,21,12,166,3.57,23.0,518.0,3922,13.21,2.0,0.0,0.0%,0.0,6.3%,322.0,56.8,4.1,4.2,-0.1,1.0,0.1,0.14,-0.04,0.15,-8.9,0.52
mike williams,30,PIT,9,13,9,132,2.83,23.0,518.0,3111,16.65,2.0,0.0,0.0%,0.0,6.3%,322.0,56.8,4.1,4.2,-0.1,1.0,0.1,0.14,-0.04,0.16,-8.9,0.41
gabriel davis,25,JAX,10,42,20,239,8.05,20.0,562.0,3784,14.85,9.0,5.0,45.5%,2.0,27.5%,222.0,53.9,5.4,8.4,-3.0,2.0,0.2,0.4,-0.2,0.22,-7.6,1.08
rashid shaheed,26,NOR,6,41,20,349,7.93,21.0,722.0,3170,22.78,2.0,2.0,50.0%,0.0,25.0%,155.0,79.8,13.3,13.2,0.1,3.0,0.5,0.43,0.07,0.28,0.3,2.25
cedrick wilson,29,NOR,15,27,20,211,5.22,23.0,197.0,3170,6.21,1.0,1.0,100.0%,1.0,6.3%,184.0,49.9,3.3,3.3,0.0,1.0,0.1,0.0,0.1,0.12,-9.7,1.15
robert woods,32,HOU,15,30,20,203,5.48,21.0,287.0,4229,6.79,3.0,1.0,50.0%,0.0,5.4%,173.0,38.3,2.7,3.6,-0.9,0.0,0.0,0.11,-0.11,0.13,-10.3,1.17
jahan dotson,24,PHI,17,33,19,216,7.89,19.0,327.0,2519,12.98,1.0,0.0,0.0%,0.0,3.3%,353.0,41.9,2.5,3.0,-0.5,0.0,0.0,0.04,-0.04,0.21,-10.5,0.61
marquez valdes-scantling,30,2TM,14,44,19,411,9.15,21.0,765.0,5041,15.18,2.0,1.0,50.0%,1.0,12.5%,263.0,84.5,6.5,6.2,0.3,4.0,0.3,0.2,0.1,0.24,-6.5,1.56
marquez valdes-scantling,30,BUF,6,9,2,26,1.82,21.0,765.0,3994,19.15,2.0,1.0,50.0%,1.0,12.5%,263.0,84.5,6.5,6.2,0.3,4.0,0.3,0.2,0.1,0.16,-6.5,0.1
marquez valdes-scantling,30,NOR,8,35,17,385,6.77,21.0,765.0,3170,24.13,2.0,1.0,50.0%,1.0,12.5%,263.0,84.5,6.5,6.2,0.3,4.0,0.3,0.2,0.1,0.27,-6.5,1.46
luke mccaffrey,23,WAS,17,24,18,168,4.76,19.0,170.0,3189,5.33,3.0,2.0,66.7%,0.0,8.3%,205.0,34.8,2.0,2.5,-0.5,0.0,0.0,0.1,-0.1,0.11,-11.0,0.82
juju smith-schuster,28,KAN,14,26,18,231,4.55,20.0,145.0,2706,5.36,6.0,4.0,66.7%,2.0,12.2%,209.0,53.1,3.8,3.7,0.1,2.0,0.1,0.1,0.0,0.11,-9.2,1.11
kalif raymond,30,DET,12,22,17,215,4.21,17.0,176.0,2797,6.29,1.0,2.0,100.0%,1.0,3.8%,122.0,56.5,4.7,3.2,1.5,2.0,0.2,0.04,0.16,0.11,-8.3,1.76
jonathan mingo,23,2TM,17,42,17,167,8.73,19.0,439.0,5041,8.71,1.0,0.0,0.0%,0.0,2.2%,245.0,32.2,2.0,4.4,-2.4,0.0,0.0,0.09,-0.09,0.19,-11.0,0.68
jonathan mingo,23,CAR,9,26,12,121,5.02,19.0,439.0,4054,10.83,1.0,0.0,0.0%,0.0,2.2%,245.0,32.2,2.0,4.4,-2.4,0.0,0.0,0.09,-0.09,0.15,-11.0,0.49
jonathan mingo,23,DAL,8,16,5,46,2.57,19.0,439.0,4089,10.74,1.0,0.0,0.0%,0.0,2.2%,245.0,32.2,2.0,4.4,-2.4,0.0,0.0,0.09,-0.09,0.11,-11.0,0.19
dj turner,27,LVR,12,29,16,158,4.9,17.0,255.0,3751,6.8,2.0,1.0,25.0%,1.0,14.3%,223.0,47.1,3.6,4.1,-0.5,1.0,0.2,0.09,0.11,0.12,-9.4,0.71
nelson agholor,31,BAL,14,29,14,231,6.35,18.0,389.0,3332,11.67,2.0,2.0,100.0%,2.0,11.1%,189.0,49.1,3.8,3.6,0.2,2.0,0.1,0.1,0.0,0.18,-9.2,1.22
mason tipton,24,NOR,11,26,14,99,5.03,15.0,323.0,3170,10.19,1.0,1.0,100.0%,0.0,6.3%,219.0,23.9,2.2,4.1,-1.9,0.0,0.0,0.05,-0.05,0.15,-10.8,0.45
jake bobo,26,SEA,17,17,13,107,2.99,14.0,138.0,3520,3.92,2.0,1.0,100.0%,0.0,2.9%,141.0,29.7,1.7,1.7,0.0,1.0,0.1,0.05,0.05,0.07,-11.3,0.76
derius davis,24,LAC,15,17,13,112,3.46,13.0,65.0,3626,1.79,2.0,2.0,100.0%,1.0,7.1%,,40.1,2.7,2.6,0.1,2.0,0.2,0.09,0.11,0.06,-10.3,
josh reynolds,29,2TM,9,24,13,194,4.99,13.0,265.0,5041,5.26,3.0,2.0,100.0%,1.0,5.0%,192.0,38.4,4.8,4.6,0.2,1.0,0.1,0.13,-0.03,0.11,-8.2,1.01
josh reynolds,29,DEN,5,19,12,183,3.46,13.0,265.0,3912,6.77,3.0,2.0,100.0%,1.0,5.0%,192.0,38.4,4.8,4.6,0.2,1.0,0.1,0.13,-0.03,0.1,-8.2,0.95
josh reynolds,29,JAX,4,5,1,11,0.96,13.0,265.0,3784,7.0,3.0,2.0,100.0%,1.0,5.0%,192.0,38.4,4.8,4.6,0.2,1.0,0.1,0.13,-0.03,0.06,-8.2,0.06
jalen brooks,24,DAL,14,30,12,177,4.82,13.0,404.0,4089,9.88,4.0,1.0,25.0%,1.0,8.7%,205.0,35.7,2.6,4.0,-1.4,1.0,0.1,0.14,-0.04,0.14,-10.4,0.86
mecole hardman,26,KAN,12,14,12,90,2.45,12.0,-14.0,2706,-0.52,5.0,4.0,80.0%,0.0,10.2%,,33.2,2.8,2.4,0.4,0.0,0.1,0.11,-0.01,0.03,-10.2,
xavier hutchinson,24,HOU,16,26,12,117,4.75,14.0,251.0,4229,5.94,2.0,0.0,0.0%,0.0,2.7%,243.0,23.7,1.5,3.2,-1.7,0.0,0.0,0.11,-0.11,0.11,-11.5,0.48
ryan miller,24,TAM,11,20,12,128,3.55,14.0,175.0,3428,5.11,3.0,2.0,66.7%,2.0,7.1%,130.0,36.8,3.3,3.4,-0.1,2.0,0.2,0.14,0.06,0.09,-9.7,0.98
trey palmer,23,TAM,15,22,12,172,3.91,13.0,318.0,3428,9.28,1.0,2.0,100.0%,1.0,4.8%,162.0,35.2,2.3,2.8,-0.5,1.0,0.1,0.08,0.02,0.12,-10.7,1.06
dante pettis,29,NOR,8,28,12,120,5.42,13.0,282.0,3170,8.9,3.0,0.0,0.0%,0.0,6.3%,,32.0,4.0,5.0,-1.0,1.0,0.1,0.17,-0.07,0.14,-9.0,
jalynn polk,22,NWE,15,33,12,87,6.6,16.0,378.0,2508,15.07,4.0,2.0,50.0%,2.0,20.0%,227.0,32.7,2.2,4.0,-1.8,2.0,0.1,0.13,-0.03,0.2,-10.8,0.38
kevin austin,24,NOR,8,22,11,151,4.26,13.0,256.0,3170,8.08,0.0,,,,,181.0,27.0,3.4,5.7,-2.3,0.0,0.0,0.11,-0.11,0.12,-9.6,0.83
devin duvernay,27,JAX,13,16,11,79,3.07,12.0,183.0,3784,4.84,2.0,2.0,100.0%,0.0,5.0%,115.0,19.2,1.5,2.4,-0.9,0.0,0.0,0.06,-0.06,0.08,-11.5,0.69
tylan wallace,25,BAL,17,12,11,193,2.63,12.0,73.0,3332,2.19,0.0,1.0,100.0%,0.0,5.6%,,36.3,2.1,,,1.0,,,,0.05,-10.9,
ryan flournoy,25,DAL,11,14,10,102,2.25,11.0,115.0,4089,2.81,0.0,,,,,,18.2,1.7,2.3,-0.6,0.0,0.0,0.02,-0.02,0.05,-11.3,
malik heath,24,GNB,13,13,10,97,2.8,10.0,84.0,3707,2.27,2.0,2.0,100.0%,2.0,4.3%,,31.7,2.6,2.1,0.5,2.0,0.2,0.09,0.11,0.06,-10.4,
odell beckham,32,MIA,9,18,9,55,3.17,10.0,164.0,2790,5.88,4.0,1.0,25.0%,0.0,11.1%,101.0,14.5,1.8,3.8,-2.0,0.0,0.0,0.15,-0.15,0.09,-11.2,0.54
marquise brown,27,KAN,2,15,9,91,2.62,9.0,123.0,2706,4.55,2.0,1.0,50.0%,0.0,4.1%,,18.1,9.1,,,0.0,,,,0.07,-3.9,
deandre carter,31,CHI,13,14,9,72,2.66,9.0,155.0,3708,4.18,3.0,2.0,66.7%,0.0,5.5%,,14.2,1.1,3.5,-2.4,0.0,0.0,0.14,-0.14,0.07,-11.9,
jamison crowder,31,WAS,6,13,9,72,2.58,9.0,108.0,3189,3.39,3.0,3.0,100.0%,2.0,8.3%,,26.2,5.2,3.9,1.3,2.0,0.3,0.16,0.14,0.06,-7.8,
rakim jarrett,23,TAM,10,11,9,124,1.95,9.0,127.0,3428,3.7,2.0,1.0,50.0%,0.0,4.8%,,21.4,2.1,1.6,0.5,0.0,0.0,0.05,-0.05,0.06,-10.9,
bub means,23,NOR,7,15,9,118,2.9,10.0,170.0,3170,5.36,1.0,1.0,100.0%,1.0,6.3%,,26.8,3.8,4.2,-0.4,1.0,0.2,0.09,0.11,0.08,-9.2,
jalin hyatt,23,NYG,16,19,8,62,3.43,10.0,363.0,3532,10.28,0.0,,,,,198.0,14.2,0.9,2.3,-1.4,0.0,0.0,0.03,-0.03,0.12,-12.1,0.31
zay jones,29,ARI,11,11,8,84,2.1,8.0,95.0,2668,3.56,0.0,0.0,0%,0.0,0.0%,151.0,16.4,1.5,2.6,-1.1,0.0,0.0,0.09,-0.09,0.06,-11.5,0.56
bo melton,25,GNB,17,17,8,91,3.66,8.0,303.0,3707,8.17,1.0,1.0,100.0%,0.0,2.2%,,22.5,1.3,2.1,-0.8,0.0,0.0,0.07,-0.07,0.11,-11.7,
trent sherfield,28,MIN,17,9,8,83,1.74,8.0,71.0,3612,1.97,1.0,1.0,100.0%,1.0,2.1%,,22.3,1.5,,,1.0,,,,0.04,-11.5,
britain covey,27,PHI,5,8,7,34,1.91,8.0,9.0,2519,0.36,2.0,2.0,100.0%,0.0,6.7%,,10.4,2.1,2.9,-0.8,0.0,0.0,0.03,-0.03,0.03,-10.9,
river cracraft,30,MIA,8,9,7,66,1.58,8.0,71.0,2790,2.54,1.0,,,,,,13.6,2.7,1.8,0.9,0.0,0.0,0.05,-0.05,0.04,-10.3,
khadarel hodge,29,ATL,17,12,7,131,2.23,8.0,130.0,3790,3.43,2.0,0.0,0.0%,0.0,2.9%,105.0,32.1,2.0,,,1.0,,,,0.06,-11.0,1.25
kj osborn,27,NWE,7,18,7,57,3.6,8.0,107.0,2508,4.27,3.0,2.0,66.7%,0.0,15.0%,120.0,18.7,2.7,3.5,-0.8,1.0,0.1,0.1,0.0,0.08,-10.3,0.48
brandon powell,29,MIN,17,10,7,71,1.93,7.0,101.0,3612,2.8,0.0,1.0,100.0%,0.0,2.1%,112.0,14.1,0.8,,,0.0,,,,0.05,-12.2,0.63
jalen reagor,25,LAC,8,12,7,100,2.44,7.0,123.0,3626,3.39,0.0,0.0,0%,0.0,0.0%,,14.7,1.8,2.7,-0.9,0.0,0.0,0.05,-0.05,0.06,-11.2,
ainias smith,23,PHI,7,9,7,41,2.15,7.0,12.0,2519,0.48,1.0,,,,,,17.7,2.5,2.5,0.0,1.0,0.1,0.06,0.04,0.04,-10.5,
michael woods,24,CLE,5,17,7,65,2.68,9.0,204.0,4491,4.54,3.0,1.0,25.0%,0.0,13.8%,,13.5,2.7,,,0.0,,,,0.07,-10.3,
parris campbell,27,PHI,5,8,6,30,1.91,6.0,34.0,2519,1.35,1.0,1.0,100.0%,1.0,3.3%,,15.0,3.8,2.8,1.0,1.0,0.2,0.12,0.08,0.04,-9.2,
chris conley,32,SFO,15,12,6,76,2.34,6.0,209.0,3098,6.75,1.0,0.0,0.0%,0.0,2.2%,,13.6,1.5,1.6,-0.1,0.0,0.0,0.05,-0.05,0.08,-11.5,
simi fehoko,27,LAC,8,16,6,106,3.26,8.0,236.0,3626,6.51,1.0,0.0,0.0%,0.0,7.1%,110.0,16.6,2.8,4.7,-1.9,0.0,0.0,0.23,-0.23,0.09,-10.2,0.96
xavier gipson,23,NYJ,17,10,6,39,1.7,7.0,112.0,3922,2.86,1.0,1.0,100.0%,1.0,1.6%,125.0,14.4,0.8,,,1.0,,,,0.05,-12.2,0.31
bryce oliver,24,TEN,10,9,6,95,1.78,6.0,95.0,4023,2.36,1.0,0.0,0.0%,0.0,3.8%,,15.5,1.6,1.5,0.1,0.0,0.0,0.02,-0.02,0.04,-11.4,
scott miller,27,PIT,13,9,5,69,1.96,,,3111,,,,,,,,,,,,,,,,,,
laviska shenault,26,SEA,11,5,5,36,0.88,5.0,-10.0,3520,-0.28,0.0,,,,,,10.7,1.1,,,0.0,,,,0.01,-11.9,
ben skowronek,27,PIT,10,5,5,69,1.09,5.0,40.0,3111,1.29,0.0,,,,,,11.9,1.2,,,0.0,,,,0.03,-11.8,
johnny wilson,23,PHI,16,15,5,38,3.59,6.0,147.0,2519,5.84,3.0,1.0,33.3%,1.0,10.0%,137.0,14.8,0.9,2.1,-1.2,1.0,0.1,0.12,-0.02,0.09,-12.1,0.28
treylon burks,24,TEN,5,8,4,34,1.58,6.0,135.0,4023,3.36,0.0,,,,,,7.5,1.5,3.0,-1.5,0.0,0.0,0.04,-0.04,0.05,-11.5,
jermaine burton,23,CIN,14,14,4,107,2.23,5.0,296.0,3630,8.15,4.0,1.0,25.0%,0.0,5.3%,,14.7,1.1,2.2,-1.1,0.0,0.0,0.14,-0.14,0.09,-11.9,
dj chark,28,LAC,7,10,4,31,2.04,4.0,115.0,3626,3.17,2.0,,,,,,13.1,3.3,,,1.0,,,,0.05,-9.7,
jacob cowing,23,SFO,15,6,4,80,1.17,4.0,76.0,3098,2.45,2.0,1.0,50.0%,0.0,4.4%,,10.7,0.7,,,0.0,,,,0.03,-12.3,
deven thompkins,25,CAR,7,4,4,20,0.77,4.0,-8.0,4054,-0.2,1.0,1.0,100.0%,0.0,2.2%,,6.7,1.3,,,0.0,,,,0.01,-11.7,
tyquan thornton,24,NWE,6,8,4,47,1.6,4.0,126.0,2508,5.02,1.0,1.0,100.0%,0.0,5.0%,,8.7,2.2,3.4,-1.2,0.0,0.0,0.07,-0.07,0.06,-10.8,
alex bachman,28,LVR,6,3,3,31,0.51,3.0,21.0,3751,0.56,0.0,0.0,0%,0.0,0.0%,,6.1,1.2,,,0.0,,,,0.01,-11.8,
david bell,24,CLE,1,3,3,27,0.47,3.0,19.0,4491,0.42,1.0,1.0,100.0%,0.0,3.4%,,5.7,5.7,3.1,2.6,0.0,0.0,0.13,-0.13,0.01,-7.3,
dan chisena,27,CAR,6,4,3,37,0.77,3.0,30.0,4054,0.74,0.0,,,,,,6.7,1.1,,,0.0,,,,0.02,-11.9,
malachi corley,22,NYJ,9,6,3,16,1.02,3.0,50.0,3922,1.27,2.0,0.0,0.0%,0.0,3.3%,,5.2,0.7,2.1,-1.4,0.0,0.0,0.15,-0.15,0.02,-12.3,
dwayne eskridge,27,MIA,6,3,3,44,0.53,,,2790,,,,,,,,,,,,,,,,,,
trenton irwin,29,CIN,7,10,3,15,1.59,4.0,62.0,3630,1.71,6.0,2.0,33.3%,0.0,8.0%,,4.5,0.8,3.6,-2.8,0.0,0.0,0.33,-0.33,0.04,-12.2,
tim jones,26,JAX,17,5,3,41,0.96,3.0,40.0,3784,1.06,0.0,,,,,,7.1,0.9,,,0.0,,,,0.02,-12.1,
terrace marshall,24,LVR,7,6,3,41,1.01,3.0,52.0,3751,1.39,0.0,,,,,,7.1,1.4,,,0.0,,,,0.02,-11.6,
james proche,28,CLE,9,3,3,21,0.47,3.0,17.0,4491,0.38,0.0,,,,,,3.1,0.3,,,0.0,,,,0.01,-12.7,
allen robinson,31,DET,12,7,3,30,1.34,4.0,51.0,2797,1.82,0.0,,,,,,6.0,1.0,,,0.0,,,,0.03,-12.0,
jamari thrash,24,CLE,9,7,3,22,1.1,5.0,51.0,4491,1.14,0.0,,,,,,5.2,0.6,,,0.0,,,,0.02,-12.4,
ronnie bell,24,SFO,9,6,2,22,1.17,4.0,65.0,3098,2.1,1.0,1.0,100.0%,0.0,2.2%,,4.2,1.1,,,0.0,,,,0.03,-11.9,
grant dubose,23,MIA,3,4,2,11,0.7,2.0,47.0,2790,1.68,0.0,,,,,,3.1,1.6,2.3,-0.7,0.0,0.0,0.04,-0.04,0.02,-11.4,
ashton dulin,27,IND,15,8,2,67,1.63,3.0,154.0,4444,3.47,1.0,0.0,0.0%,0.0,2.6%,,19.2,1.3,,,1.0,,,,0.05,-11.7,
isaiah hodgins,26,NYG,3,2,2,12,0.36,,,3532,,,,,,,,3.2,1.6,,,0.0,,,,,-11.4,
mason kinsey,26,TEN,6,2,2,17,0.39,,,4023,,,,,,,,3.7,0.6,,,0.0,,,,,-12.4,
nikko remigio,25,KAN,5,6,2,48,1.05,3.0,64.0,2706,2.37,0.0,,,,,,6.8,1.4,,,0.0,,,,0.03,-11.6,
xavier smith,27,LAR,15,2,2,6,0.37,,,3552,,,,,,,,6.2,0.4,,,0.0,,,,,-12.6,
austin trammell,26,JAX,1,3,2,40,0.57,,,3784,,,,,,,,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,,-9.0,
cody white,26,SEA,4,3,2,44,0.53,,,3520,,,,,,,,6.4,1.6,1.6,0.0,0.0,0.0,0.04,-0.04,,-11.4,
kristian wilkerson,27,LVR,3,3,2,18,0.51,,,3751,,,2.0,66.7%,1.0,10.7%,,9.8,9.8,3.1,6.7,1.0,0.5,0.24,0.26,,-3.2,
isaiah williams,23,DET,2,3,2,6,0.57,,,2797,,,,,,,,2.6,0.3,,,0.0,,,,,-12.7,
javon baker,22,NWE,11,4,1,12,0.8,1.0,50.0,2508,1.99,0.0,,,,,,2.2,0.2,,,0.0,,,,0.03,-12.8,
chris blair,27,ATL,4,2,1,17,0.37,,,3790,,,,,,,,2.7,0.9,,,0.0,,,,,-12.1,
robbie chosen,31,MIA,2,4,1,5,0.7,1.0,47.0,2790,1.68,2.0,0.0,0.0%,0.0,5.6%,,1.5,1.5,3.8,-2.3,0.0,0.0,0.29,-0.29,0.02,-11.5,
jaelon darden,25,CLE,7,1,1,6,0.16,,,4491,,,,,,,,1.6,0.1,,,0.0,,,,,-12.9,
anthony gould,23,IND,8,1,1,23,0.2,,,4444,,,,,,,,3.3,0.4,,,0.0,,,,,-12.6,
jhaquan jackson,24,TEN,12,3,1,8,0.59,,,4023,,,,,,,,-2.7,-0.2,,,0.0,,,,,-13.2,
brandon johnson,26,PIT,3,1,1,9,0.22,,,3111,,,,,,,,1.9,0.6,,,0.0,,,,,-12.4,
collin johnson,27,CHI,9,2,1,6,0.38,,,3708,,,,,,,,1.6,0.3,,,0.0,,,,,-12.7,
charlie jones,26,CIN,8,1,1,5,0.16,,,3630,,,,,,,,5.5,0.7,,,0.0,,,,,-12.3,
velus jones,27,CHI,1,1,1,8,0.19,,,3708,,,,,,,,0.9,0.5,,,0.0,,,,,-12.5,
ramel keyton,24,LVR,8,3,1,7,0.51,,,3751,,,0.0,0.0%,0.0,3.6%,,1.7,0.6,,,0.0,,,,,-12.4,
tay martin,27,TEN,1,2,1,49,0.39,,,4023,,,,,,,,11.9,11.9,,,1.0,,,,,-1.1,
anthony miller,30,BAL,2,1,1,16,0.22,,,3332,,,,,,,,2.6,1.3,,,0.0,,,,,-11.7,
kendric pryor,26,CIN,1,1,1,9,0.16,,,3630,,,,,,,,1.9,1.0,,,0.0,,,,,-12.0,
john ross,29,PHI,1,2,1,6,0.48,,,2519,,,,,,,,1.6,1.6,5.5,-3.9,0.0,0.0,0.36,-0.36,,-11.4,
tyler scott,23,CHI,11,1,1,5,0.19,,,3708,,,,,,,,1.5,0.1,,,0.0,,,,,-12.9,
tyrell shavers,25,BUF,3,1,1,69,0.2,,,3994,,,,,,,,13.9,4.6,,,1.0,,,,,-8.4,
trent taylor,30,SFO,2,1,1,11,0.19,,,3098,,,,,,,,2.1,1.1,,,0.0,,,,,-11.9,
brycen tremayne,25,WAS,2,1,1,-2,0.2,,,3189,,,,,,,,0.8,0.4,,,0.0,,,,,-12.6,
devontez walker,23,BAL,9,3,1,21,0.66,,,3332,,,,,,,,9.1,1.3,,,1.0,,,,,-11.7,
casey washington,23,ATL,8,2,1,14,0.37,,,3790,,,,,,,,2.4,1.2,1.7,-0.5,0.0,0.0,0.03,-0.03,,-11.8,
braxton berrios,29,MIA,6,4,0,0,0.7,0.0,26.0,2790,0.93,1.0,0.0,0.0%,0.0,2.8%,,0.0,0.0,,,0.0,,,,0.02,-13.0,
irvin charles,27,NYJ,13,1,0,0,0.17,,,3922,,,0.0,0.0%,0.0,1.6%,,0.0,0.0,,,0.0,,,,,-13.0,
erik ezukanma,24,MIA,2,2,0,0,0.35,,,2790,,,,,,,,0.0,0.0,2.0,-2.0,0.0,0.0,0.13,-0.13,,-13.0,
kameron johnson,22,TAM,5,1,0,0,0.18,,,3428,,,0.0,0.0%,0.0,2.4%,,1.1,0.2,,,0.0,,,,,-12.8,
tom kennedy,28,DET,4,1,0,0,0.19,,,2797,,,,,,,,0.0,0.0,,,0.0,,,,,-13.0,
skyy moore,24,KAN,6,3,0,0,0.52,,,2706,,,,,,,,0.0,0.0,,,0.0,,,,,-13.0,
justyn ross,25,KAN,2,1,0,0,0.17,,,2706,,,0.0,0.0%,0.0,2.0%,,0.0,0.0,1.7,-1.7,0.0,0.0,0.22,-0.22,,-13.0,
kadarius toney,25,CLE,3,1,0,0,0.16,,,4491,,,,,,,,-2.4,-0.8,,,0.0,,,,,-13.8,
xavier weaver,24,ARI,2,2,0,0,0.38,,,2668,,,,,,,,0.0,0.0,3.7,-3.7,0.0,0.0,0.28,-0.28,,-13.0,
dareke young,25,SEA,14,1,0,0,0.18,,,3520,,,,,,,,0.0,0.0,,,0.0,,,,,-13.0,
