"Rank","Player","REC_I10","TGT_I10","REC_PCT_I10","YDS_I10","Y/R","TD_I10","TGT_PCT_I10","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"26","Wan'Dale Robinson (NYG)","5","9","55.6%","24","4.8","3","52.9%","0","0","0","0.0%","0","17","20.4","1.2","29.6%"
"27","Michael Pittman Jr. (IND)","4","4","100.0%","22","5.5","3","23.5%","0","0","0","0%","0","16","20.2","1.3","73.1%"
"28","Chris Godwin (TB)","5","5","100.0%","22","4.4","3","19.2%","0","0","0","0%","0","7","20.2","2.9","89.5%"
"29","Marvin Harrison Jr. (ARI)","3","6","50.0%","21","7.0","3","50.0%","0","0","0","0.0%","0","17","20.1","1.2","96.0%"
"30","A.J. Brown (PHI)","4","4","100.0%","21","5.3","3","26.7%","0","0","0","0%","0","13","20.1","1.5","99.0%"
"31","Cooper Kupp (SEA)","4","8","50.0%","20","5.0","3","32.0%","0","0","0","0.0%","0","12","20.0","1.7","87.9%"
"32","Alec Pierce (IND)","3","4","75.0%","17","5.7","3","23.5%","0","0","0","0%","0","16","19.7","1.2","22.4%"
"33","DeVonta Smith (PHI)","4","5","80.0%","16","4.0","3","33.3%","0","0","0","0%","0","13","19.6","1.5","93.4%"
"34","Mack Hollins (NE)","3","5","60.0%","16","5.3","3","31.3%","0","0","0","0.0%","0","17","19.6","1.2","2.8%"
"35","Jauan Jennings (SF)","3","8","37.5%","14","4.7","3","42.1%","0","0","0","0.0%","0","15","19.4","1.3","84.2%"
"36","Malik Nabers (NYG)","3","8","37.5%","12","4.0","3","47.1%","1","-2","0","50.0%","0","15","19.0","1.3","98.8%"
"37","DJ Moore (CHI)","5","6","83.3%","32","6.4","2","31.6%","0","0","0","0%","0","17","15.2","0.9","94.9%"
"38","Michael Wilson (ARI)","4","5","80.0%","24","6.0","2","41.7%","0","0","0","0.0%","0","16","14.4","0.9","16.5%"
"39","Deebo Samuel Sr. (WAS)","3","5","60.0%","12","4.0","1","26.3%","5","7","1","100.0%","0","15","13.9","0.9","87.4%"
"40","Tim Patrick (DET)","4","5","80.0%","16","4.0","2","20.8%","0","0","0","0.0%","0","16","13.6","0.9","3.0%"
"41","Jamison Crowder (FA)","2","2","100.0%","15","7.5","2","11.1%","0","0","0","0%","0","5","13.5","2.7","1.0%"
"42","Zay Flowers (BAL)","2","6","33.3%","15","7.5","2","66.7%","0","0","0","0%","0","17","13.5","0.8","93.9%"
"43","Van Jefferson (TEN)","4","7","57.1%","15","3.8","2","41.2%","0","0","0","0%","0","15","13.5","0.9","1.8%"
"44","Diontae Johnson (CLE)","2","8","25.0%","15","7.5","2","33.3%","0","0","0","0.0%","0","11","13.5","1.2","18.0%"
"45","Josh Downs (IND)","2","6","33.3%","14","7.0","2","35.3%","0","0","0","0%","0","14","13.4","1.0","62.9%"
"46","Allen Lazard (NYJ)","2","3","66.7%","13","6.5","2","10.0%","0","0","0","0%","0","12","13.3","1.1","6.5%"
"47","Devaughn Vele (DEN)","2","2","100.0%","12","6.0","2","11.8%","0","0","0","0%","0","13","13.2","1.0","7.9%"
"48","Olamide Zaccheaus (CHI)","2","3","66.7%","11","5.5","2","16.7%","0","0","0","0%","0","17","13.1","0.8","2.4%"
"49","Tre Tucker (LV)","1","1","100.0%","8","8.0","1","10.0%","1","3","1","100.0%","0","17","13.1","0.8","7.2%"
"50","Puka Nacua (LAR)","1","3","33.3%","7","7.0","1","12.0%","1","4","1","100.0%","0","11","13.1","1.2","98.9%"
"51","Jakobi Meyers (LV)","2","6","33.3%","10","5.0","2","60.0%","0","0","0","0.0%","0","15","13.0","0.9","85.2%"
"52","Dontayvion Wicks (GB)","4","6","66.7%","10","2.5","2","35.3%","0","0","0","0.0%","0","17","13.0","0.8","21.1%"
"53","Troy Franklin (DEN)","2","2","100.0%","9","4.5","2","11.8%","0","0","0","0%","0","16","12.9","0.8","12.2%"
"54","Quentin Johnston (LAC)","2","2","100.0%","9","4.5","2","15.4%","0","0","0","0%","0","15","12.9","0.9","34.4%"
"55","Tank Dell (HOU)","2","4","50.0%","9","4.5","2","21.1%","0","0","0","0.0%","0","14","12.9","0.9","18.4%"
"56","Jayden Reed (GB)","3","4","75.0%","13","4.3","2","23.5%","1","-5","0","100.0%","0","17","12.8","0.8","84.4%"
"57","Jaxon Smith-Njigba (SEA)","2","7","28.6%","8","4.0","2","38.9%","0","0","0","0%","0","17","12.8","0.8","97.1%"
"58","Ja'Lynn Polk (NE)","2","2","100.0%","7","3.5","2","22.2%","0","0","0","0%","0","15","12.7","0.8","4.3%"
"59","Malik Heath (GB)","2","2","100.0%","6","3.0","2","11.8%","0","0","0","0.0%","0","12","12.6","1.1","0.6%"
"60","Jameson Williams (DET)","1","3","33.3%","3","3.0","1","12.5%","1","3","1","100.0%","0","15","12.6","0.8","91.5%"
"61","Brandin Cooks (NO)","2","3","66.7%","5","2.5","2","16.7%","0","0","0","0%","0","10","12.5","1.3","11.5%"
"62","Rome Odunze (CHI)","2","4","50.0%","5","2.5","2","21.1%","0","0","0","0%","0","17","12.5","0.7","87.9%"
"63","Jalen McMillan (TB)","4","5","80.0%","23","5.8","1","19.2%","0","0","0","0%","0","13","8.3","0.6","41.0%"
"64","Romeo Doubs (GB)","2","3","66.7%","12","6.0","1","17.6%","0","0","0","0.0%","0","13","7.2","0.6","30.3%"
"65","Greg Dortch (ARI)","1","1","100.0%","5","5.0","1","8.3%","1","6","0","100.0%","0","17","7.1","0.4","4.6%"
"66","Bub Means (NO)","1","1","100.0%","10","10.0","1","14.3%","0","0","0","0%","0","7","7.0","1.0","1.5%"
"67","Calvin Ridley (TEN)","1","3","33.3%","0","0.0","0","23.1%","1","10","1","100.0%","0","17","7.0","0.4","88.0%"
"68","Trent Sherfield Sr. (DEN)","1","1","100.0%","10","10.0","1","4.3%","0","0","0","0.0%","0","15","7.0","0.5","0.0%"
"69","Jaylen Waddle (MIA)","1","2","50.0%","7","7.0","1","13.3%","1","3","0","100.0%","0","16","7.0","0.4","89.7%"
"70","Kristian Wilkerson (BUF)","1","2","50.0%","9","9.0","1","20.0%","0","0","0","0.0%","0","1","6.9","6.9","1.0%"
"71","Kendrick Bourne (NE)","1","2","50.0%","9","9.0","1","22.2%","0","0","0","0%","0","12","6.9","0.6","2.7%"
"72","Josh Reynolds (NYJ)","1","1","100.0%","9","9.0","1","5.0%","0","0","0","0%","0","8","6.9","0.9","1.0%"
"73","Tyler Lockett (TEN)","1","6","16.7%","9","9.0","1","33.3%","0","0","0","0%","0","17","6.9","0.4","17.4%"
"74","Khalil Shakir (BUF)","2","2","100.0%","8","4.0","1","12.5%","0","0","0","0.0%","0","15","6.8","0.5","85.1%"
"75","Adam Thielen (CAR)","1","2","50.0%","8","8.0","1","8.3%","0","0","0","0.0%","0","10","6.8","0.7","48.3%"
"76","Christian Kirk (HOU)","1","3","33.3%","8","8.0","1","15.0%","0","0","0","0%","0","8","6.8","0.9","45.5%"
"77","Kalif Raymond (DET)","1","1","100.0%","7","7.0","1","4.2%","0","0","0","0.0%","0","12","6.7","0.6","1.5%"
"78","JuJu Smith-Schuster (KC)","1","2","50.0%","7","7.0","1","9.1%","0","0","0","0.0%","0","14","6.7","0.5","1.8%"
"79","CeeDee Lamb (DAL)","1","3","33.3%","7","7.0","1","16.7%","0","0","0","0%","0","15","6.7","0.4","98.7%"
"80","Jerry Jeudy (CLE)","1","4","25.0%","6","6.0","1","44.4%","0","0","0","0%","0","17","6.6","0.4","89.0%"
"81","Justin Watson (HOU)","1","1","100.0%","6","6.0","1","4.5%","0","0","0","0.0%","0","16","6.6","0.4","1.0%"
"82","Nelson Agholor (FA)","1","1","100.0%","6","6.0","1","11.1%","0","0","0","0%","0","13","6.6","0.5","1.0%"
"83","Amari Cooper (FA)","2","2","100.0%","6","3.0","1","12.5%","0","0","0","0.0%","0","13","6.6","0.5","21.1%"
"84","Gabe Davis (FA)","1","5","20.0%","5","5.0","1","25.0%","0","0","0","0%","0","10","6.5","0.7","12.6%"
"85","Johnny Wilson (PHI)","1","3","33.3%","5","5.0","1","20.0%","0","0","0","0%","0","16","6.5","0.4","1.0%"
"86","Rashod Bateman (BAL)","1","2","50.0%","5","5.0","1","22.2%","0","0","0","0%","0","17","6.5","0.4","43.0%"
"87","Sterling Shepard (TB)","1","4","25.0%","4","4.0","1","15.4%","0","0","0","0%","0","14","6.4","0.5","1.0%"
"88","DeMario Douglas (NE)","1","2","50.0%","3","3.0","1","22.2%","0","0","0","0%","0","17","6.3","0.4","23.7%"
"89","Ricky Pearsall (SF)","1","2","50.0%","3","3.0","1","10.5%","0","0","0","0.0%","0","11","6.3","0.6","80.6%"
"90","Keon Coleman (BUF)","1","5","20.0%","2","2.0","1","31.3%","0","0","0","0.0%","0","13","6.2","0.5","71.4%"
"91","Christian Watson (GB)","1","2","50.0%","2","2.0","1","11.8%","0","0","0","0.0%","0","15","6.2","0.4","17.5%"
"92","Marquez Valdes-Scantling (SEA)","1","2","50.0%","2","2.0","1","28.6%","0","0","0","0%","0","13","6.2","0.5","8.0%"
"93","Parker Washington (JAC)","1","2","50.0%","2","2.0","1","10.0%","0","0","0","0%","0","17","6.2","0.4","7.3%"
