Player,cz_line,cz_over_odds,cz_under_odds
justin jefferson,1250.5,-115,-115
puka nacua,1200.5,-115,-115
nico collins,1150.5,-115,-115
ceedee lamb,1150.5,-115,-115
malik nabers,1150.5,-115,-115
brian thomas,1150.5,-115,-115
aj brown,1125.5,-115,-115
drake london,1075.5,-115,-115
ladd mcconkey,1050.5,-115,-115
amon-ra st brown,1050.5,-115,-115
tee higgins,1000.5,-115,-115
mike evans,1000.5,-115,-115
brock bowers,999.5,-120,-110
tyreek hill,990.5,-115,-115
jaxon smith-njigba,975.5,-115,-115
dj moore,975.5,-115,-115
dk metcalf,975.5,-115,-115
terry mclaurin,975.5,-115,-115
marvin harrison,950.5,-115,-115
davante adams,950.5,-115,-115
jaylen waddle,925.5,-115,-115
garrett wilson,925.5,-115,-115
george pickens,900.5,-115,-115
calvin ridley,900.5,-115,-115
trey mcbride,900.5,-115,-115
jerry jeudy,900.5,-115,-115
xavier worthy,875.5,-115,-115
jameson williams,875.5,-120,-110
devonta smith,875.5,-115,-115
chris olave,875.5,-115,-115
courtland sutton,850.5,-115,-115
rome odunze,825.5,-115,-115
jakobi meyers,800.5,-115,-115
tetairoa mcmillian,800.5,-115,-115
khalil shakir,775.5,-115,-115
rashid shaheed,750.5,-115,-115
travis hunter,750.5,-115,-115
keon coleman,750.5,-115,-115
michael pittman jr,750.5,-115,-115
travis kelce,725.5,-115,-115
tj hockenson,725.5,-115,-115
jordan addison,725.5,-120,-110
matthew golden,700.5,-110,-120
sam laporta,675.5,-115,-115
cooper kupp,675.5,-110,-120
david njoku,675.5,-105,-125
darnell mooney,675.5,-115,-115
cedric tillman,650.5,-115,-115
jayden higgins,650.5,-115,-115
josh downs,650.5,-115,-115
jayden reed,650.5,-115,-115
deebo samuel,650.5,-115,-115
colston loveland,625.5,-115,-115
emeka egbuka,625.5,-120,-110
dalton kincaid,600.5,-115,-115
mark andrews,600.5,-115,-115
evan engram,575.5,-115,-115
adam thielen,575.5,-115,-115
tucker kraft,575.5,-115,-115
xavier legette,575.5,-115,-115
hollywood brown,575.5,-115,-115
jonnu smith,550.5,-115,-115
rashod bateman,550.5,-115,-115
kyle pitts,550.5,-115,-115
christian kirk,550.5,-115,-115
tyler warren,525.5,-115,-115
marvin mims,525.5,-115,-115
jake ferguson,525.5,-115,-115
michael wilson,525.5,-115,-115
darius slayton,500.5,-115,-115
cade otton,475.5,-115,-115
chigoziem okonkwo,475.5,-115,-115
tutu atwell,475.5,-115,-115
dalton schultz,450.5,-115,-115
luther burden,450.5,-120,-110
brenton strange,425.5,-115,-115
mike gesicki,400.5,-115,-115
allan lazard,400.5,-115,-115
