player,line,over_odds,under_odds
A.J. Brown,1125.5,-114,-114
Amon-Ra St. Brown,1075.5,-114,-114
Brian Thomas,1150.5,-114,-114
Brock Bowers,1025.5,-114,-114
Calvin Ridley,900.5,-114,-114
CeeDee Lamb,1175.5,-114,-114
Cooper Kupp,675.5,-114,-114
Courtland Sutton,900.5,-114,-114
Davante Adams,950.5,-114,-114
Deebo Samuel,675.5,-114,-114
DeVonta Smith,850.5,-114,-114
D.J. Moore,975.5,-114,-114
D.K Metcalf,925.5,-114,-114
Drake London,1125.5,-114,-114
Garrett Wilson,950.5,-114,-114
George Kittle,900.5,-114,-114
George Pickens,900.5,-114,-114
Jakobi Meyers,800.5,-114,-114
Ja'Marr Chase,1325.5,-114,-114
Jameson Williams,875.5,-114,-114
Jaylen Waddle,925.5,-114,-114
Jaxon Smith-Njigba,975.5,-114,-114
Jayden Reed,700.5,-114,-114
Jerry Jeudy,900.5,-114,-114
Khalil Shakir,775.5,-114,-114
Ladd McConkey,1025.5,-114,-114
Marvin Harrison Jr.,975.5,-114,-114
Mike Evans,925.5,-114,-114
Nico Collins,1150.5,-114,-114
Puka Nacua,1225.5,-114,-114
Rashod Bateman,525.5,-114,-114
Rome Odunze,850.5,-114,-114
Sam LaPorta,675.5,-114,-114
Stefon Diggs,775.5,-114,-114
Tee Higgins,975.5,-114,-114
Terry McLaurin,975.5,-114,-114
Tetairoa McMillan,825.5,-114,-114
Travis Hunter,750.5,-114,-114
Travis Kelce,725.5,-114,-114
Trey McBride,900.5,-114,-114
Tyreek Hill,975.5,-114,-114
Xavier Worthy,900.5,-114,-114
Zay Flowers,900.5,-114,-114
