"Rank","Player","ATT","RZ YDS","Y/A","RZ TD","RZ PCT","RZ REC","RZ TGT","REC PCT","YDS","Y/R","RZ REC TD","RZ REC TGT PCT","FL","G","RZ FPTS","RZ FPTS/G","ROST %"
"93","Blake Watson (DEN)","0","0","0","0","0.0%","1","1","100.0%","13","13.0","0","10.0%","0","3","2.3","0.8","1.1%"
"94","D'Ernest Johnson (FA)","6","23","3.8","0","10.3%","0","3","0.0%","0","0","0","37.5%","0","12","2.3","0.2","1.0%"
"95","Blake Corum (LAR)","8","23","2.9","0","10.1%","0","0","0%","0","0","0","0.0%","0","15","2.3","0.2","29.3%"
"96","Sincere McCormick (LV)","5","9","1.8","0","10.4%","1","1","100.0%","3","3.0","0","12.5%","0","4","2.2","0.6","2.1%"
"97","Jordan Mims (FA)","1","3","3.0","0","2.2%","1","1","100.0%","4","4.0","0","12.5%","0","8","1.7","0.2","0.0%"
"98","Pierre Strong Jr. (CLE)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","0","33.3%","0","13","1.3","0.1","1.0%"
"99","Tyler Badie (DEN)","0","0","0","0","0.0%","1","1","100.0%","2","2.0","0","10.0%","0","3","1.2","0.4","0.7%"
"100","J.J. Taylor (HOU)","2","11","5.5","0","3.1%","0","0","0%","0","0","0","0.0%","0","4","1.1","0.3","0.6%"
"101","Rasheen Ali (BAL)","3","10","3.3","0","4.8%","0","0","0%","0","0","0","0.0%","0","5","1.0","0.2","1.3%"
"102","Tyreik McAllister (FA)","1","10","10.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","2","1.0","0.5","1.0%"
"103","Eric Gray (NYG)","6","7","1.2","0","15.4%","1","2","50.0%","13","13.0","0","28.6%","1","16","1.0","0.1","0.8%"
"104","Jermar Jefferson (FA)","3","9","3.0","0","2.9%","0","0","0%","0","0","0","0.0%","0","2","0.9","0.5","0.6%"
"105","Michael Carter (ARI)","3","8","2.7","0","5.2%","0","0","0%","0","0","0","0.0%","0","4","0.8","0.2","0.9%"
"106","Hunter Luepke (DAL)","2","6","3.0","0","5.6%","0","0","0%","0","0","0","0.0%","0","16","0.6","0.0","0.6%"
"107","Kimani Vidal (LAC)","5","5","1.0","0","8.8%","0","0","0%","0","0","0","0.0%","0","10","0.5","0.1","4.9%"
"108","Ronnie Rivers (LAR)","1","5","5.0","0","1.3%","0","0","0%","0","0","0","0.0%","0","7","0.5","0.1","0.6%"
"109","Dameon Pierce (HOU)","2","4","2.0","0","3.1%","0","0","0%","0","0","0","0.0%","0","11","0.4","0.0","10.0%"
"110","Deuce Vaughn (DAL)","1","3","3.0","0","2.8%","0","0","0%","0","0","0","0.0%","0","6","0.3","0.1","1.6%"
"111","Craig Reynolds (DET)","2","3","1.5","0","1.9%","0","0","0%","0","0","0","0.0%","0","14","0.3","0.0","1.1%"
"112","Kenny McIntosh (SEA)","3","3","1.0","0","6.3%","0","0","0%","0","0","0","0.0%","0","12","0.3","0.0","1.0%"
"113","Mike Boone (FA)","1","1","1.0","0","1.9%","0","0","0%","0","0","0","0.0%","0","5","0.1","0.0","1.0%"
"114","Will Shipley (PHI)","1","1","1.0","0","1.2%","0","0","0%","0","0","0","0.0%","0","13","0.1","0.0","16.4%"
"115","Myles Gaskin (FA)","1","0","0.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","4","0.0","0.0","0.0%"
"116","Raheem Blackshear (CAR)","1","0","0.0","0","1.9%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","1.0%"
"117","Jeff Wilson Jr. (FA)","1","-1","-1.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","7","-0.1","0.0","1.0%"
"118","Terrell Jennings (NE)","1","-1","-1.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","2","-0.1","-0.1","0.1%"
"119","Aaron Shampklin (FA)","1","-2","-2.0","0","1.5%","0","0","0%","0","0","0","0.0%","0","3","-0.2","-0.1","1.1%"
"120","D'Onta Foreman (FA)","11","9","0.8","0","28.2%","0","0","0%","0","0","0","0.0%","1","10","-1.1","-0.1","2.7%"
""
""
