Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
138,Malik Willis,25,GNB,QB,7,2,20,138,6,90,4.5,48,2.4,3,6.7
140,Gardner Minshew II,28,LVR,QB,10,9,19,58,5,45,2.4,13,0.7,0,
141,Drew Lock,28,NYG,QB,8,5,18,133,9,103,5.7,30,1.7,0,
142,Marcus Mariota,31,WAS,QB,3,0,18,92,6,78,4.3,14,0.8,1,18.0
143,Spencer Rattler,24,NOR,QB,7,6,18,146,7,99,5.5,47,2.6,0,
144,Derek Carr,33,NOR,QB,10,10,17,71,4,66,3.9,5,0.3,0,
145,Tua Tagovailoa,26,MIA,QB,11,11,17,49,5,49,2.9,0,0.0,0,
146,Mitchell Trubisky,30,BUF,QB,9,0,17,1,1,1,0.1,0,0.0,0,
151,Jacoby Brissett,32,NWE,QB,8,5,15,62,5,49,3.3,13,0.9,0,
161,Dak Prescott,31,DAL,QB,8,8,13,54,5,48,3.7,6,0.5,0,
165,Andy Dalton,37,CAR,QB,6,5,11,34,2,15,1.4,19,1.7,1,11.0
166,Jake Haener,25,NOR,QB,8,1,11,22,0,22,2.0,0,0.0,0,
167,Trey Lance,24,DAL,QB,4,1,11,41,3,34,3.1,7,0.6,0,
173,Joe Milton,24,NWE,QB,1,0,10,16,4,2,0.2,14,1.4,0,
178,Joshua Dobbs,29,SFO,QB,2,1,9,24,2,18,2.0,6,0.7,1,9.0
179,Joe Flacco,39,IND,QB,8,6,9,26,2,24,2.7,2,0.2,0,
181,Kenny Pickett,26,PHI,QB,5,1,9,15,3,11,1.2,4,0.4,0,
182,Desmond Ridder,25,LVR,QB,6,1,9,36,2,22,2.4,14,1.6,0,
185,Tommy DeVito,26,NYG,QB,3,2,8,32,1,28,3.5,4,0.5,0,
191,Michael Penix,24,ATL,QB,5,3,7,11,1,8,1.1,3,0.4,0,
192,Clayton Tune,25,ARI,QB,6,0,7,-4,2,-5,-0.7,1,0.1,0,
193,Tyson Bagent,24,CHI,QB,4,0,6,-7,0,-7,-1.2,0,0.0,0,
207,Hendon Hooker,26,DET,QB,3,0,5,2,1,2,0.4,0,0.0,0,
210,Tanner McKee,24,PHI,QB,2,1,5,-1,1,-3,-0.6,2,0.4,0,
214,Kyle Trask,26,TAM,QB,4,0,5,-4,0,-4,-0.8,0,0.0,0,
220,Josh Johnson,38,BAL,QB,6,0,4,1,0,-1,-0.3,2,0.5,0,
225,Jarrett Stidham,28,DEN,QB,3,0,4,5,1,2,0.5,3,0.8,0,
230,Brandon Allen,32,SFO,QB,3,1,3,4,0,4,1.3,0,0.0,0,
243,Davis Mills,26,HOU,QB,4,0,3,11,1,9,3.0,2,0.7,0,
244,Nick Mullens,29,MIN,QB,4,0,3,-2,0,-2,-0.7,0,0.0,0,
250,Tyrod Taylor,35,NYJ,QB,2,0,3,13,0,8,2.7,5,1.7,1,3.0
251,Carson Wentz,32,KAN,QB,3,1,3,0,0,-1,-0.3,1,0.3,0,
252,Tim Boyle,30,2TM,QB,3,0,3,9,1,8,2.7,1,0.3,0,
252,Tim Boyle,30,MIA,QB,2,0,2,10,1,9,4.5,1,0.5,0,
252,Tim Boyle,30,NYG,QB,1,0,1,-1,0,-1,-1.0,0,0.0,0,
255,Jake Browning,28,CIN,QB,3,0,2,-2,0,-2,-1.0,0,0.0,0,
259,Jimmy Garoppolo,33,LAR,QB,1,1,2,5,0,5,2.5,0,0.0,0,
261,Taylor Heinicke,31,LAC,QB,4,0,2,20,1,20,10.0,0,0.0,0,
281,Bailey Zappe,25,CLE,QB,1,1,2,2,0,2,1.0,0,0.0,0,
299,Sam Howell,24,SEA,QB,2,0,1,2,0,0,0.0,2,2.0,1,1.0
315,Chris Oladokun,27,KAN,QB,1,0,1,5,0,5,5.0,0,0.0,0,
329,Skylar Thompson,27,MIA,QB,3,1,1,4,0,4,4.0,0,0.0,0,
