RANK,NAME,TEAM,POS,GP,FPTS,XFP,DIFF,TD/G,XTD,TD_DIFF,OPP,5OPP,10OPP,20OPP,RUSH,AIRYDS,TGTEZ,TGT,DEEPTGT
1,Alvin Kamara,NO,RB,14,19.0,19.3,-0.4,0.6,0.53,0.0,0.8,1.4,3.3,16.9,4.0,6.4,0.0,0.3
2,Bijan Robinson,ATL,RB,17,20.0,18.0,2.0,0.9,0.70,0.2,1.0,2.2,4.3,18.4,-3.8,4.5,0.0,0.1
3,De'Von Achane,MIA,RB,17,17.6,17.2,0.4,0.7,0.70,0.0,1.1,1.7,3.1,12.4,-3.2,5.6,0.1,0.1
4,Joe Mixon,HOU,RB,14,17.2,17.2,0.0,0.9,0.80,0.1,1.2,2.6,4.8,18.0,-0.6,3.6,0.1,0.0
5,Jonathan Taylor,IND,RB,14,17.6,17.1,0.5,0.9,0.82,0.0,1.3,2.3,4.4,22.0,-2.0,2.3,0.0,0.0
6,Kyren Williams,LAR,RB,16,17.2,17.0,0.2,1.0,0.87,0.1,1.4,2.4,5.1,20.3,-2.1,2.6,0.1,0.0
7,Saquon Barkley,PHI,RB,16,21.9,16.9,5.0,0.9,0.74,0.2,1.1,1.9,4.5,21.8,7.1,2.5,0.1,0.3
8,Chuba Hubbard,CAR,RB,15,16.2,16.8,-0.6,0.7,0.80,-0.1,1.4,2.0,3.7,16.8,-2.2,3.8,0.0,0.1
9,Kenneth Walker,SEA,RB,11,16.5,16.8,-0.4,0.7,0.72,0.0,1.2,1.5,3.2,14.5,-6.4,4.6,0.0,0.0
10,Chase Brown,CIN,RB,16,15.9,16.1,-0.3,0.7,0.83,-0.1,1.1,2.3,3.8,14.5,6.9,4.1,0.3,0.1
11,Aaron Jones,MIN,RB,17,14.4,15.6,-1.3,0.4,0.76,-0.3,1.1,1.9,3.7,15.4,2.1,3.5,0.1,0.1
12,Josh Jacobs,GB,RB,17,17.4,15.6,1.8,0.9,0.81,0.1,1.4,2.6,4.1,18.5,-4.2,2.5,0.0,0.0
13,Breece Hall,NYJ,RB,16,14.9,15.5,-0.6,0.5,0.47,0.0,0.6,0.8,2.1,13.5,1.3,4.9,0.2,0.2
14,Jahmyr Gibbs,DET,RB,17,21.4,15.3,6.1,1.2,0.74,0.4,1.1,1.7,4.1,15.0,-2.1,3.7,0.1,0.1
15,Tony Pollard,TEN,RB,16,12.5,15.0,-2.4,0.3,0.34,0.0,0.4,1.1,2.6,17.2,-0.6,3.8,0.0,0.1
16,James Conner,ARI,RB,16,15.7,14.6,1.0,0.6,0.60,0.0,0.8,1.4,3.6,15.4,-6.1,3.5,0.0,0.0
17,Kareem Hunt,KC,RB,13,12.0,14.4,-2.5,0.5,0.82,-0.3,1.5,2.5,4.4,15.9,-4.3,2.3,0.1,0.0
18,J.K. Dobbins,LAC,RB,13,14.8,14.0,0.8,0.7,0.53,0.2,0.7,1.4,2.8,15.2,-3.5,3.0,0.0,0.0
19,Christian McCaffrey,SF,RB,4,12.2,14.0,-1.8,0.0,0.30,-0.3,0.3,0.5,3.0,13.5,14.5,4.8,0.0,0.0
20,Rhamondre Stevenson,NE,RB,15,11.7,14.0,-2.3,0.5,0.63,-0.1,0.9,1.5,3.5,14.3,-1.9,3.1,0.1,0.1
21,David Montgomery,DET,RB,14,15.6,13.9,1.7,0.9,0.76,0.1,1.3,2.4,3.8,13.4,-1.4,2.8,0.0,0.0
22,Derrick Henry,BAL,RB,17,19.8,13.9,5.9,1.1,0.72,0.3,1.3,2.1,3.6,19.6,-1.4,1.3,0.0,0.0
