Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TK LOSS,TK LOSS YDS,REC,TGT,RZ TGT_x,Rush TD,Rec TD,Rec YDS,FPTS,FPTS/G,RZ YDS,RZ TD,RZ PCT,RZ REC,RZ TGT_y,RZ REC TD,RZ REC TGT PCT,RZ FPTS,RZ FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff
110,dernest johnson,28,JAX,RB,14,1,32,143,7,79,2.5,64,2.0,0,,3.0,-3.0,12.0,19.0,3.0,0.0,0.0,96.0,35.9,3.0,23.0,0.0,10.3%,0.0,3.0,0.0,37.5%,2.3,0.2,3.5,0.0,0.11,-0.5,-0.11
111,cordarrelle patterson,33,PIT,RB,13,1,32,135,7,46,1.4,89,2.8,3,10.7,3.0,-10.0,12.0,14.0,2.0,0.0,1.0,80.0,37.5,2.9,-2.0,0.0,1.5%,2.0,2.0,1.0,15.4%,9.4,0.7,2.9,0.1,0.07,0.0,0.03
112,kenny mcintosh,24,SEA,RB,17,0,31,172,8,97,3.1,75,2.4,5,6.2,0.0,0.0,3.0,4.0,0.0,0.0,0.0,22.0,22.4,1.9,3.0,0.0,6.3%,0.0,0.0,0.0,0.0%,0.3,0.0,3.0,0.0,0.04,-1.1,-0.04
113,craig reynolds,28,DET,RB,17,0,31,139,6,91,2.9,48,1.5,1,31.0,3.0,-4.0,3.0,5.0,0.0,0.0,0.0,40.0,20.9,1.5,3.0,0.0,1.9%,0.0,0.0,0.0,0.0%,0.3,0.0,1.7,0.0,0.03,-0.2,-0.03
115,isaiah davis,22,NYJ,RB,17,0,30,174,10,66,2.2,108,3.6,4,7.5,2.0,-6.0,9.0,12.0,3.0,1.0,1.0,75.0,45.9,3.3,20.0,1.0,8.6%,2.0,3.0,1.0,25.0%,17.9,1.3,4.5,0.2,0.15,-1.2,0.05
116,dare ogunbowale,30,HOU,RB,17,1,30,112,5,70,2.3,42,1.4,1,30.0,6.0,-9.0,19.0,28.0,5.0,0.0,1.0,198.0,56.0,3.3,6.0,0.0,6.3%,2.0,6.0,1.0,46.2%,9.3,0.5,3.5,0.1,0.13,-0.2,-0.03
117,will shipley,22,PHI,RB,16,1,30,82,2,44,1.5,38,1.3,0,,1.0,-4.0,4.0,4.0,1.0,0.0,0.0,35.0,15.7,1.2,1.0,0.0,1.2%,0.0,0.0,0.0,0.0%,0.1,0.0,2.6,0.0,0.06,-1.4,-0.06
123,pierre strong,26,CLE,RB,14,0,26,108,6,69,2.7,39,1.5,0,,1.0,-5.0,14.0,22.0,1.0,0.0,0.0,104.0,35.2,2.7,0.0,0.0,0.0%,1.0,1.0,0.0,33.3%,1.3,0.1,3.6,0.0,0.02,-0.9,-0.02
127,emari demercado,25,ARI,RB,13,0,24,223,8,86,3.6,137,5.7,3,8.0,1.0,-1.0,16.0,20.0,3.0,1.0,0.0,104.0,54.7,4.2,0.0,0.0,0.0%,4.0,4.0,0.0,40.0%,5.8,0.4,3.3,0.1,0.03,0.9,0.07
129,julius chestnut,24,TEN,RB,17,0,22,102,2,55,2.5,47,2.1,2,11.0,2.0,-2.0,2.0,3.0,0.0,0.0,0.0,11.0,13.3,1.0,28.0,0.0,8.7%,0.0,0.0,0.0,0.0%,2.8,0.2,1.4,0.0,0.06,-0.4,-0.06
130,ronnie rivers,25,LAR,RB,17,0,22,99,6,71,3.2,28,1.3,0,,2.0,-2.0,5.0,6.0,0.0,0.0,0.0,34.0,18.3,2.6,5.0,0.0,1.3%,0.0,0.0,0.0,0.0%,0.5,0.1,4.1,0.0,0.1,-1.5,-0.1
134,jamycal hasty,28,NWE,RB,15,0,20,69,4,38,1.9,31,1.6,0,,2.0,-7.0,10.0,12.0,1.0,0.0,1.0,59.0,28.8,2.4,0.0,0.0,0.0%,1.0,1.0,1.0,7.7%,8.6,0.7,2.7,0.1,0.02,-0.3,0.08
135,jordan mims,25,NOR,RB,11,0,20,70,2,50,2.5,20,1.0,0,,2.0,-3.0,12.0,18.0,1.0,0.0,0.0,71.0,26.1,3.3,3.0,0.0,2.2%,1.0,1.0,0.0,12.5%,1.7,0.2,4.5,0.0,0.1,-1.2,-0.1
136,samaje perine,29,KAN,RB,17,0,20,92,7,54,2.7,38,1.9,0,,0.0,0.0,28.0,35.0,3.0,1.0,1.0,322.0,81.4,4.8,5.0,1.0,3.1%,1.0,3.0,1.0,18.8%,14.2,0.8,4.1,0.1,0.14,0.7,-0.04
147,deuce vaughn,23,DAL,RB,7,0,17,70,2,38,2.2,32,1.9,0,,0.0,0.0,3.0,5.0,0.0,0.0,0.0,18.0,11.8,2.0,3.0,0.0,2.8%,0.0,0.0,0.0,0.0%,0.3,0.1,2.8,0.0,0.06,-0.8,-0.06
149,jeff wilson,29,MIA,RB,9,0,16,57,3,24,1.5,33,2.1,0,,3.0,-5.0,3.0,3.0,0.0,0.0,0.0,19.0,10.6,1.5,-1.0,0.0,1.7%,0.0,0.0,0.0,0.0%,-0.1,0.0,1.5,0.0,0.05,0.0,-0.05
150,raheem blackshear,25,CAR,RB,16,1,15,80,2,35,2.3,45,3.0,2,7.5,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.5,0.0,0.0,1.9%,0.0,0.0,0.0,0.0%,0.0,0.0,1.0,0.0,0.01,-0.5,-0.01
152,keaton mitchell,22,BAL,RB,5,0,15,30,2,8,0.5,22,1.5,2,7.5,3.0,-8.0,1.0,1.0,0.0,0.0,0.0,28.0,6.8,1.7,,,,,,,,,,2.1,0.0,0.01,-0.4,-0.01
153,eric gray,25,NYG,RB,17,0,14,31,1,17,1.2,14,1.0,0,,1.0,-1.0,10.0,11.0,2.0,0.0,0.0,82.0,17.3,1.1,7.0,0.0,15.4%,1.0,2.0,0.0,28.6%,1.0,0.1,2.2,0.0,0.13,-1.1,-0.13
156,mike boone,29,CAR,RB,6,0,13,51,3,30,2.3,21,1.6,1,13.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,-2.0,5.9,1.2,1.0,0.0,1.9%,0.0,0.0,0.0,0.0%,0.1,0.0,2.2,0.0,0.03,-1.0,-0.03
157,clyde edwards-helaire,25,NOR,RB,2,0,13,46,2,17,1.3,29,2.2,3,4.3,1.0,-1.0,3.0,5.0,0.0,0.0,0.0,24.0,10.0,5.0,,,,,,,,,,,,,,
158,terrell jennings,23,NWE,RB,3,0,13,33,0,19,1.5,14,1.1,0,,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.3,1.7,-1.0,0.0,1.8%,0.0,0.0,0.0,0.0%,-0.1,-0.1,6.2,0.0,0.26,-4.5,-0.26
159,jase mcclellan,22,ATL,RB,2,0,13,32,2,13,1.0,19,1.5,0,,2.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.1,,,,,,,,,,2.8,0.0,0.04,-1.7,-0.04
163,hunter luepke,24,DAL,RB,16,4,12,38,6,13,1.1,25,2.1,1,12.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,111.0,26.9,1.7,6.0,0.0,5.6%,0.0,0.0,0.0,0.0%,0.6,0.0,,,,,
164,tyler badie,24,DEN,RB,3,0,11,86,4,22,2.0,64,5.8,1,11.0,1.0,-3.0,3.0,3.0,1.0,0.0,0.0,-2.0,9.4,3.1,0.0,0.0,0.0%,1.0,1.0,0.0,10.0%,1.2,0.4,3.6,0.0,0.04,-0.5,-0.04
170,rasheen ali,23,BAL,RB,6,0,10,31,2,16,1.6,15,1.5,0,,1.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.1,0.6,10.0,0.0,4.8%,0.0,0.0,0.0,0.0%,1.0,0.2,,,,,
174,jj taylor,26,HOU,RB,5,0,10,44,1,34,3.4,10,1.0,0,,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.4,1.6,11.0,0.0,3.1%,0.0,0.0,0.0,0.0%,1.1,0.3,2.3,0.0,0.06,-0.7,-0.06
175,jonathon brooks,21,CAR,RB,3,1,9,22,0,8,0.9,14,1.6,1,9.0,1.0,-3.0,3.0,3.0,2.0,0.0,0.0,23.0,7.5,2.5,11.0,0.0,5.6%,2.0,2.0,0.0,11.8%,3.6,1.2,4.0,0.0,0.25,-1.5,-0.25
176,deejay dallas,26,ARI,RB,17,0,9,49,4,32,3.6,17,1.9,0,,0.0,0.0,3.0,3.0,1.0,0.0,1.0,11.0,21.0,1.3,3.0,0.0,1.7%,1.0,1.0,1.0,10.0%,7.4,0.5,2.0,0.1,0.1,-0.7,0.0
184,dalvin cook,29,DAL,RB,2,0,8,20,0,12,1.5,8,1.0,0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,4.0,2.0,,,,,,,,,,2.9,0.0,0.02,-0.9,-0.02
194,travis homer,26,CHI,RB,10,0,6,23,2,16,2.7,7,1.2,0,,0.0,0.0,3.0,3.0,0.0,0.0,0.0,11.0,6.4,0.7,,,,,,,,,,1.1,0.0,0.0,-0.4,0.0
195,jermar jefferson,24,DET,RB,2,0,6,22,1,9,1.5,13,2.2,0,,1.0,-2.0,1.0,1.0,0.0,0.0,0.0,10.0,4.2,2.1,9.0,0.0,2.9%,0.0,0.0,0.0,0.0%,0.9,0.5,,,,,
197,marshawn lloyd,23,GNB,RB,1,0,6,15,0,12,2.0,3,0.5,0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.8,2.8,,,,,,,,,,4.4,0.0,0.07,-1.6,-0.07
199,aaron shampklin,25,PIT,RB,3,0,6,17,1,8,1.3,9,1.5,0,,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,-2.0,0.0,1.5%,0.0,0.0,0.0,0.0%,-0.2,-0.1,1.5,0.0,0.12,-0.9,-0.12
201,sione vaki,23,DET,RB,16,0,6,14,0,8,1.3,6,1.0,0,,2.0,-3.0,3.0,3.0,0.0,0.0,0.0,37.0,8.1,0.7,,,,,,,,,,1.0,0.0,0.0,-0.3,0.0
203,chris collier,24,LVR,RB,3,0,5,12,0,5,1.0,7,1.4,0,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-4.0,1.8,0.3,,,,,,,,,,2.0,0.0,0.03,-1.7,-0.03
209,jacob kibodi,26,CLE,RB,1,0,5,24,1,10,2.0,14,2.8,0,,1.0,-1.0,1.0,3.0,2.0,0.0,0.0,15.0,4.9,4.9,,,,,,,,,,,,,,
216,jonathan ward,27,PIT,RB,4,0,5,22,1,12,2.4,10,2.0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.6,,,,,,,,,,0.8,0.0,0.0,-0.2,0.0
221,tony jones,27,ARI,RB,1,0,4,55,1,9,2.3,46,11.5,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.5,11.5,,,,,,,,,,,,,,
227,blake watson,25,DEN,RB,2,0,4,10,2,7,1.8,3,0.8,0,,1.0,-1.0,1.0,2.0,1.0,0.0,0.0,13.0,3.3,1.1,0.0,0.0,0.0%,1.0,1.0,0.0,10.0%,2.3,0.8,2.5,0.0,0.03,-1.4,-0.03
234,tyrion davis-price,24,PHI,RB,1,0,3,7,0,3,1.0,4,1.3,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,,,,,,,,,,,,,,
237,darrynton evans,26,CHI,RB,5,0,3,3,0,2,0.7,1,0.3,0,,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,,,,,,,,,,,,,,
238,myles gaskin,27,MIN,RB,5,0,3,-1,0,-2,-0.7,1,0.3,0,,1.0,-3.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0,0.5,0.0,0.0,1.7%,0.0,0.0,0.0,0.0%,0.0,0.0,1.9,0.0,0.04,-1.4,-0.04
240,george holani,25,SEA,RB,5,0,3,10,1,7,2.3,3,1.0,0,,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.9,0.6,,,,,,,,,,,,,,
278,keshawn vaughn,27,SFO,RB,3,0,2,4,0,2,1.0,2,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,,,,,,,,,,,,,,
287,british brooks,25,HOU,RB,5,0,1,2,0,1,1.0,1,1.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,,,,,,,,,,,,,,
306,josh kelley,27,TEN,RB,3,0,1,2,0,2,2.0,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,,,,,,,,,,,,,,
308,dylan laube,25,LVR,RB,10,0,1,0,0,0,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.3,,,,,,,,,,0.3,0.0,0.0,-0.6,0.0
323,cody schrader,25,LAR,RB,1,0,1,3,0,3,3.0,0,0.0,0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.9,1.9,,,,,,,,,,,,,,
