Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TK LOSS,TK LOSS YDS,REC,TGT,RZ TGT_x,Rush TD,Rec TD,Rec YDS,FPTS,FPTS/G,RZ YDS,RZ TD,RZ PCT,RZ REC,RZ TGT_y,RZ REC TD,RZ REC TGT PCT,RZ FPTS,RZ FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff
13,joe mixon,28,HOU,RB,14,14,245,1016,52,549,2.2,467,1.9,19,12.9,36.0,-81.0,36.0,52.0,7.0,11.0,1.0,309.0,240.5,17.2,126.0,10.0,87.5%,3.0,7.0,1.0,53.8%,83.6,6.0,17.2,0.9,0.8,0.0,0.1
14,james conner,29,ARI,RB,16,16,236,1094,67,528,2.2,566,2.4,24,9.8,21.0,-52.0,47.0,55.0,5.0,8.0,1.0,414.0,253.8,15.9,162.0,8.0,87.9%,5.0,5.0,1.0,50.0%,77.5,4.8,14.6,0.6,0.6,1.3,0.0
15,rico dowdle,26,DAL,RB,16,15,235,1079,53,570,2.4,509,2.2,11,21.4,19.0,-39.0,39.0,49.0,5.0,2.0,3.0,249.0,197.8,12.4,58.0,1.0,52.8%,4.0,5.0,2.0,71.4%,27.3,1.7,13.3,0.3,0.38,-0.9,-0.08
16,chase brown,24,CIN,RB,16,10,229,990,49,599,2.6,391,1.7,23,10.0,19.0,-40.0,54.0,65.0,12.0,7.0,4.0,360.0,255.0,15.9,94.0,6.0,73.8%,10.0,14.0,4.0,82.4%,85.4,5.3,16.1,0.7,0.83,-0.2,-0.13
17,alvin kamara,29,NOR,RB,14,14,228,950,52,548,2.4,402,1.8,13,17.5,29.0,-65.0,68.0,89.0,5.0,6.0,2.0,543.0,265.3,19.0,109.0,6.0,76.1%,3.0,6.0,0.0,75.0%,51.3,3.7,19.3,0.6,0.53,-0.3,0.07
18,breece hall,23,NYJ,RB,16,16,209,876,40,432,2.1,444,2.1,7,29.9,21.0,-53.0,57.0,76.0,8.0,5.0,3.0,483.0,240.9,15.1,65.0,5.0,65.7%,6.0,8.0,0.0,66.7%,45.9,2.9,15.5,0.5,0.47,-0.4,0.03
19,james cook,25,BUF,RB,16,16,207,1009,48,530,2.6,479,2.3,14,14.8,21.0,-37.0,32.0,38.0,3.0,16.0,2.0,258.0,266.7,16.7,132.0,11.0,62.7%,4.0,5.0,2.0,38.5%,98.0,6.1,12.6,1.1,0.67,4.1,0.43
20,bucky irving,22,TAM,RB,17,3,207,1122,52,566,2.7,556,2.7,12,17.3,16.0,-36.0,47.0,52.0,8.0,8.0,0.0,392.0,244.4,14.4,129.0,7.0,57.4%,7.0,7.0,0.0,38.9%,64.9,3.8,12.6,0.5,0.56,1.8,-0.06
21,rhamondre stevenson,26,NWE,RB,15,14,207,801,40,370,1.8,431,2.1,14,14.8,20.0,-51.0,33.0,41.0,9.0,7.0,1.0,168.0,175.9,11.7,97.0,6.0,73.2%,9.0,11.0,1.0,84.6%,64.0,4.3,14.0,0.5,0.63,-2.3,-0.13
22,devon achane,23,MIA,RB,17,16,203,907,37,486,2.4,421,2.1,7,29.0,36.0,-73.0,78.0,87.0,14.0,6.0,6.0,592.0,299.9,17.6,39.0,4.0,60.3%,12.0,14.0,6.0,77.8%,85.0,5.0,17.2,0.7,0.7,0.4,0.0
23,kareem hunt,29,KAN,RB,13,8,200,728,42,399,2.0,329,1.6,7,28.6,11.0,-16.0,23.0,32.0,10.0,7.0,0.0,176.0,155.4,12.0,99.0,7.0,66.2%,7.0,10.0,0.0,62.5%,61.1,4.7,14.4,0.5,0.82,-2.4,-0.32
24,jk dobbins,26,LAC,RB,13,11,195,905,47,416,2.1,489,2.5,24,8.1,18.0,-33.0,32.0,38.0,5.0,9.0,0.0,153.0,191.8,14.8,74.0,7.0,43.9%,5.0,5.0,0.0,100.0%,56.2,4.3,14.0,0.7,0.53,0.8,0.17
25,tyrone tracy,25,NYG,RB,17,12,192,839,39,511,2.7,328,1.7,6,32.0,13.0,-25.0,38.0,53.0,5.0,5.0,1.0,284.0,182.3,10.7,52.0,3.0,56.4%,4.0,5.0,1.0,71.4%,32.7,1.9,11.1,0.4,0.32,-0.4,0.08
26,brian robinson,25,WAS,RB,14,13,187,799,47,378,2.0,421,2.3,10,18.7,18.0,-38.0,20.0,25.0,4.0,8.0,0.0,159.0,159.8,11.4,120.0,7.0,48.8%,2.0,4.0,0.0,44.4%,54.7,3.9,11.8,0.6,0.67,-0.4,-0.07
27,david montgomery,27,DET,RB,14,14,185,775,50,347,1.9,428,2.3,19,9.7,13.0,-19.0,36.0,38.0,3.0,12.0,0.0,341.0,221.7,15.8,161.0,12.0,47.6%,3.0,3.0,0.0,20.0%,96.4,6.9,13.9,0.9,0.76,1.9,0.14
28,tank bigsby,23,JAX,RB,16,1,168,766,39,295,1.8,471,2.8,14,12.0,12.0,-18.0,7.0,12.0,0.0,7.0,0.0,54.0,129.0,8.1,130.0,5.0,55.2%,0.0,0.0,0.0,0.0%,43.0,2.7,8.5,0.5,0.46,-0.4,0.04
29,jordan mason,25,SFO,RB,12,6,153,789,37,441,2.9,348,2.3,13,11.8,15.0,-31.0,11.0,14.0,2.0,3.0,0.0,91.0,115.0,9.6,107.0,3.0,50.0%,2.0,3.0,0.0,30.0%,30.7,2.6,9.7,0.3,0.45,-0.1,-0.15
30,kenneth walker,24,SEA,RB,11,11,153,573,28,263,1.7,310,2.0,13,11.8,20.0,-52.0,46.0,53.0,8.0,7.0,1.0,299.0,181.2,16.5,41.0,5.0,47.9%,8.0,10.0,1.0,90.9%,52.4,4.8,16.8,0.7,0.72,-0.3,-0.02
31,travis etienne,25,JAX,RB,15,15,150,558,31,283,1.9,275,1.8,3,50.0,17.0,-41.0,39.0,52.0,5.0,2.0,0.0,254.0,130.2,8.7,48.0,2.0,34.5%,3.0,5.0,0.0,62.5%,18.8,1.3,11.4,0.1,0.32,-2.7,-0.22
