,Player,Age,Team,G,Att,Team Att,Att_Share,Yds,YBC,YBC/Att,YAC,YAC/Att,REC,TGT,Rec YDS,Rush TD,Rec TD,RZ TD,RZ PCT,RZ REC,RZ REC TD,FPTS,FPTS/G,XFP,TD/G,XTD,fpts_diff,tds_diff,VOR,ALY
76,dameon pierce,24,HOU,11,40,366,10.93,293,77,1.9,216,5.4,2.0,4.0,2.0,2.0,0.0,0.0,3.1%,0.0,0.0,43.5,4.0,2.7,0.2,0.05,1.3,0.15,-7.5,4.08
77,sincere mccormick,24,LVR,5,39,308,12.66,183,90,2.3,93,2.4,6.0,7.0,29.0,0.0,0.0,0.0,10.4%,1.0,0.0,27.2,6.8,5.7,0.0,0.17,1.1,-0.17,-4.7,3.85
78,kendre miller,22,NOR,6,39,348,11.21,148,55,1.4,93,2.4,5.0,8.0,33.0,1.0,0.0,1.0,6.5%,0.0,0.0,29.1,4.2,5.7,0.2,0.07,-1.5,0.13,-7.3,4.18
79,patrick taylor,26,SFO,13,39,328,11.89,183,89,2.3,94,2.4,3.0,11.0,25.0,1.0,0.0,1.0,14.7%,0.0,0.0,29.8,3.3,6.0,0.1,0.3,-2.7,-0.2,-8.2,4.65
80,chris brooks,24,GNB,15,36,446,8.07,183,74,2.1,109,3.0,11.0,13.0,69.0,1.0,0.0,1.0,10.0%,2.0,0.0,42.2,3.2,3.5,0.1,0.1,-0.3,0.0,-8.3,4.72
81,khalil herbert,26,2TM,14,36,140,25.71,130,74,2.1,56,1.6,10.0,11.0,25.0,1.0,0.0,1.0,10.2%,0.0,0.0,31.5,2.6,3.2,0.1,0.18,-0.6,-0.08,-8.9,
82,khalil herbert,26,CHI,6,8,325,2.46,16,6,0.8,10,1.3,10.0,11.0,25.0,1.0,0.0,1.0,10.2%,0.0,0.0,31.5,2.6,3.2,0.1,0.18,-0.6,-0.08,-8.9,3.8
83,khalil herbert,26,CIN,8,28,331,8.46,114,68,2.4,46,1.6,10.0,11.0,25.0,1.0,0.0,1.0,10.2%,0.0,0.0,31.5,2.6,3.2,0.1,0.18,-0.6,-0.08,-8.9,4.37
84,michael carter,25,ARI,3,35,371,9.43,131,81,2.3,50,1.4,11.0,11.0,57.0,1.0,0.0,0.0,5.2%,0.0,0.0,35.8,9.0,,,,,,-2.5,4.63
85,chris rodriguez,24,WAS,9,35,354,9.89,173,62,1.8,111,3.2,1.0,1.0,12.0,2.0,0.0,2.0,12.8%,0.0,0.0,31.5,3.9,3.8,0.3,0.27,0.1,0.03,-7.6,4.27
