Player,normalized_line
saquon barkley,1444.25
derrick henry,1350.2698369731054
jonathan taylor,1214.556303348548
bijan robinson,1175.5
jahmyr gibbs,1063.2301630268946
ashton jeanty,1056.75
josh jacobs,1050.5
bucky irving,1005.3653853570695
kyren williams,998.4763598466564
james cook,950.5
chuba hubbard,950.5
christian mccaffrey,950.2698369731054
breece hall,903.7706006287418
james conner,900.5
devon achane,886.3199968995003
tony pollard,873.943696651452
kenneth walker,869.4801630268946
chase brown,856.75
omarion hampton,825.5
tyrone tracy,825.5
dandre swift,817.1666666666666
kaleb johnson,800.5
aaron jones,763.0
alvin kamara,763.0
lamar jackson,762.7698369731054
rj harvey,749.2690888092524
brian robinson,737.7698369731054
david montgomery,725.5
treveyon henderson,702.2985706742654
isiah pacheco,699.0814754226144
jayden daniels,688.0
tank bigsby,663.4588624627058
justin fields,650.5
rhamondre stevenson,650.3809525680628
jalen hurts,600.5
jaylen warren,583.5239781431802
najee harris,575.81372248802
travis etienne,575.5
jordan mason,575.5
javonte williams,566.8573114765135
tyler allgeier,563.0
tyjae spears,550.5
jaydon blue,542.8967870310235
cam skattebo,513.0
josh allen,492.78845346537065
zach charbonnet,488.0
kyler murray,487.2698369731054
isaac guerendo,475.5
drake maye,475.5
ray davis,450.5
bo nix,424.5
rachaad white,423.7178700331963
caleb williams,413.0
